symbol,side,opt_type,strike,entry_ts,exit_ts,qty,lots,lot_size,premium_entry,premium_exit,bar_vol_entry,bar_vol_exit,size_vs_bar_vol_entry_pct,size_vs_bar_vol_exit_pct,net_pnl
ADANIENT,long,CE,2500.0,2026-05-04 14:15:00,2026-05-04 14:35:00,927,3,309,160.0,150.05,927.0,309.0,100.0,300.0,-9481.378667980887
ADANIENT,short,PE,2440.0,2026-05-12 13:10:00,2026-05-12 13:50:00,927,3,309,110.95,121.0,0.0,0.0,,,9106.827978974896
ADANIENT,long,CE,2500.0,2026-05-13 13:35:00,2026-05-13 13:50:00,927,3,309,163.65,153.6,1236.0,3090.0,75.0,30.0,-9579.00372146051
ADANIENT,long,CE,2680.0,2026-05-14 11:50:00,2026-05-14 11:50:00,927,3,309,145.0,145.0,0.0,0.0,,,-246.68100022
ADANIENT,long,CE,2700.0,2026-05-14 14:35:00,2026-05-14 15:00:00,927,3,309,171.0,176.55,5871.0,18231.0,15.789473684210526,5.084745762711864,4857.05174634411
ADANIENT,short,PE,2680.0,2026-05-18 10:45:00,2026-05-18 10:45:00,927,3,309,137.45,144.85,1545.0,1545.0,60.0,60.0,6616.374773768605
ADANIENT,long,CE,2720.0,2026-05-20 14:10:00,2026-05-20 14:25:00,927,3,309,139.0,139.0,0.0,0.0,,,-238.426614004
ADANIENT,long,CE,2720.0,2026-05-22 14:15:00,2026-05-22 14:30:00,927,3,309,140.5,136.75,0.0,2163.0,,42.857142857142854,-3713.1265304905
ADANIENT,long,CE,2800.0,2026-05-25 11:00:00,2026-05-25 11:00:00,927,3,309,141.95,138.0,46041.0,46041.0,2.0134228187919465,2.0134228187919465,-3900.3286108890898
ADANIENT,long,CE,2820.0,2026-05-25 13:05:00,2026-05-25 13:05:00,927,3,309,140.65,140.5,21321.0,21321.0,4.3478260869565215,4.3478260869565215,-379.6020230107053
ADANIENT,long,CE,2860.0,2026-05-25 13:15:00,2026-05-25 13:25:00,927,3,309,134.0,131.0,21321.0,5562.0,4.3478260869565215,16.666666666666668,-3009.65701477
ADANIENT,long,CE,2920.0,2026-05-26 11:50:00,2026-05-26 12:30:00,927,3,309,141.15,149.6,23793.0,15450.0,3.896103896103896,6.0,7583.622738516489
ADANIPORTS,short,PE,1600.0,2026-04-30 14:05:00,2026-04-30 14:05:00,1425,3,475,70.0,82.0,950.0,950.0,150.0,150.0,16886.9881856
ADANIPORTS,long,CE,1720.0,2026-05-04 11:10:00,2026-05-04 11:15:00,1425,3,475,90.25,90.25,0.0,0.0,,,-238.06042022500003
ADANIPORTS,short,PE,1700.0,2026-05-12 14:00:00,2026-05-12 14:15:00,1425,3,475,71.0,72.0,475.0,0.0,300.0,,1226.16808415
ADANIPORTS,long,CE,1800.0,2026-05-25 10:55:00,2026-05-25 11:55:00,1425,3,475,66.95,62.0,50350.0,22800.0,2.830188679245283,6.25,-7235.203039502504
ASIANPAINT,long,CE,2660.0,2026-05-22 11:05:00,2026-05-22 11:15:00,750,3,250,94.4,93.2,12250.0,3250.0,6.122448979591836,23.076923076923077,-1051.3364338000022
ASIANPAINT,short,PE,2680.0,2026-05-29 14:10:00,2026-05-29 14:10:00,750,3,250,101.3,84.1,87500.0,87500.0,0.8571428571428571,0.8571428571428571,-13046.542077700002
ASIANPAINT,short,PE,2680.0,2026-06-24 10:00:00,2026-06-24 10:00:00,750,3,250,69.9,69.9,0.0,0.0,,,-125.0022649
AXISBANK,long,CE,1300.0,2026-05-06 14:25:00,2026-05-06 14:35:00,1875,3,625,51.0,53.3,35625.0,3125.0,5.2631578947368425,60.0,4118.9030071249945
AXISBANK,short,PE,1250.0,2026-05-14 10:50:00,2026-05-14 11:15:00,1875,3,625,43.0,44.5,3125.0,0.0,60.0,,2642.723328125
AXISBANK,short,PE,1240.0,2026-05-19 13:55:00,2026-05-19 15:05:00,1875,3,625,34.95,37.4,0.0,0.0,,,4444.521809562491
AXISBANK,long,CE,1240.0,2026-05-20 10:35:00,2026-05-20 11:05:00,1875,3,625,46.1,49.4,1250.0,1250.0,150.0,150.0,6005.5887556249945
AXISBANK,long,CE,1280.0,2026-05-22 10:15:00,2026-05-22 12:50:00,1875,3,625,40.5,46.2,19375.0,51250.0,9.67741935483871,3.658536585365854,10516.493566625006
BAJAJ-AUTO,short,PE,8600.0,2026-04-28 11:30:00,2026-04-28 12:35:00,225,3,75,73.0,73.0,0.0,0.0,,,-71.5758169
