symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
NIFTY,short,PE,2026-06-30,22750.0,2026-04-01 13:45:00,2026-04-01 15:15:00,22674.85,22681.1,782.7,794.1,65,TIME,740.9999999999985,123.472996228,617.5270037719986,19
NIFTY,long,CE,2026-06-30,22850.0,2026-04-06 13:15:00,2026-04-06 15:15:00,22861.3,22970.9,1107.55,1201.0,65,TIME,6074.250000000003,160.3535577705,5913.896442229503,25
NIFTY,long,CE,2026-06-30,23000.0,2026-04-07 13:35:00,2026-04-07 15:15:00,23014.15,23123.45,1146.05,1169.0,65,TIME,1491.750000000003,159.3037733855,1332.4462266145028,21
NIFTY,long,CE,2026-06-30,24200.0,2026-04-29 10:05:00,2026-04-29 13:45:00,24202.7,24261.695900000002,760.8,790.45,65,SL,1927.250000000006,122.59357263749999,1804.6564273625058,45
NIFTY,long,CE,2026-06-30,24050.0,2026-05-05 13:10:00,2026-05-05 15:15:00,24066.35,24050.45,738.6,714.5,65,TIME,-1566.5000000000014,116.82019060100001,-1683.3201906010013,26
NIFTY,long,CE,2026-06-30,24250.0,2026-05-06 14:25:00,2026-05-06 15:15:00,24252.05,24330.65,733.2,752.95,65,TIME,1283.75,119.2622145165,1164.4877854835,11
NIFTY,short,PE,2026-06-30,23750.0,2026-05-15 11:10:00,2026-05-15 15:15:00,23743.05,23637.15,531.7,580.0,65,TIME,3139.4999999999973,101.753749107,3037.746250892997,50
NIFTY,short,PE,2026-06-30,23750.0,2026-05-29 13:15:00,2026-05-29 15:00:00,23769.65,23636.798299999995,349.4,412.8,65,SL,4121.000000000002,85.188587962,4035.811412038002,22
NIFTY,long,CE,2026-06-30,23350.0,2026-06-02 11:25:00,2026-06-02 11:30:00,23361.2,23334.55,435.8,423.5,65,OI_FLIP,-799.5000000000007,88.408086803,-887.9080868030007,2
BANKNIFTY,short,PE,2026-06-30,51800.0,2026-04-01 13:45:00,2026-04-01 14:05:00,51472.4,51678.289600000004,2177.0,2089.25,30,SL,-2632.5,141.387907825,-2773.887907825,5
BANKNIFTY,long,CE,2026-06-30,50000.0,2026-04-02 12:00:00,2026-04-02 13:05:00,50192.8,50377.56255,3127.55,3294.15,30,SL,4997.999999999997,191.640497134,4806.3595028659975,14
BANKNIFTY,long,CE,2026-06-30,51000.0,2026-04-02 13:25:00,2026-04-02 13:35:00,50576.1,50715.84465,2709.15,2850.0,30,SL,4225.499999999997,172.209435583,4053.2905644169973,3
BANKNIFTY,long,CE,2026-06-30,51200.0,2026-04-02 14:15:00,2026-04-02 14:30:00,51170.45,51227.40535,2416.8,2416.8,30,SL,0.0,154.80086627199998,-154.80086627199998,4
BANKNIFTY,long,CE,2026-06-30,52300.0,2026-04-06 13:15:00,2026-04-06 14:05:00,52224.2,52276.4,2611.6,2611.6,30,OI_FLIP,0.0,163.473759664,-163.473759664,11
BANKNIFTY,long,CE,2026-06-30,53000.0,2026-04-07 13:45:00,2026-04-07 13:55:00,52560.4,52350.1584,2544.75,2640.0,30,SL,2857.5,163.467929695,2694.032070305,3
BANKNIFTY,short,PE,2026-06-30,56000.0,2026-04-15 11:10:00,2026-04-15 14:50:00,56184.4,56409.1376,1480.0,1459.1,30,SL,-627.0000000000027,112.440831382,-739.4408313820027,45
BANKNIFTY,short,PE,2026-06-30,56400.0,2026-04-16 11:50:00,2026-04-16 13:45:00,56257.15,56065.944749999995,1429.1,1713.85,30,SL,8542.5,119.70666655900001,8422.793333441,24
BANKNIFTY,long,CE,2026-06-30,54800.0,2026-05-05 13:10:00,2026-05-05 15:00:00,54761.55,54542.503800000006,1618.0,1618.0,30,SL,0.0,119.23666072000002,-119.23666072000002,23
BANKNIFTY,long,CE,2026-06-30,55500.0,2026-05-06 14:25:00,2026-05-06 15:00:00,55575.05,56019.650400000006,1895.0,2080.6,30,TGT,5567.999999999997,137.35739111200002,5430.642608887997,8
BANKNIFTY,short,PE,2026-06-30,55300.0,2026-05-08 14:00:00,2026-05-08 15:15:00,55263.55,55297.4,1369.75,1300.3,30,TIME,-2083.5000000000014,106.01819520100001,-2189.518195201001,16
BANKNIFTY,long,CE,2026-06-30,54000.0,2026-05-14 11:40:00,2026-05-14 11:45:00,53974.1,54130.3,1727.65,1808.9,30,OI_FLIP,2437.5,126.652366531,2310.847633469,2
BANKNIFTY,long,CE,2026-06-30,53200.0,2026-05-20 11:05:00,2026-05-20 12:05:00,53182.9,53250.41805,1634.05,1743.8,30,SL,3292.5,123.37390515700001,3169.126094843,13
BANKNIFTY,long,CE,2026-06-30,53500.0,2026-05-20 14:25:00,2026-05-20 15:15:00,53495.85,53568.7,1633.85,1665.3,30,TIME,943.5000000000014,120.92313538300002,822.5768646170013,11
BANKNIFTY,long,CE,2026-06-30,53400.0,2026-06-02 11:25:00,2026-06-02 11:30:00,53439.9,53339.95,1327.7,1280.65,30,OI_FLIP,-1411.4999999999986,104.844610267,-1516.3446102669986,2
BANKNIFTY,long,CE,2026-06-30,56100.0,2026-06-12 13:30:00,2026-06-12 14:15:00,56083.5,56532.168,849.55,1167.75,30,TGT,9546.000000000002,94.94709064599999,9451.052909354003,10
