symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
NIFTY,long,CE,2026-06-30,22900.0,2026-04-01 09:55:00,2026-04-01 10:20:00,22914.95,22823.2902,1155.0,1140.0,65,SL,-975.0,157.60285945,-1132.60285945,6
NIFTY,short,PE,2026-06-30,22800.0,2026-04-01 13:35:00,2026-04-01 13:40:00,22776.25,22716.295049999997,779.35,832.95,65,SL,3484.0000000000014,126.001282183,3357.9987178170013,2
NIFTY,long,CE,2026-06-30,22650.0,2026-04-02 14:20:00,2026-04-02 15:15:00,22651.55,22717.65,1019.35,1208.25,65,TIME,12278.499999999998,158.294924746,12120.205075253998,12
NIFTY,short,PE,2026-06-30,22600.0,2026-04-06 09:50:00,2026-04-06 11:15:00,22591.1,22611.95,817.45,787.75,65,OI_FLIP,-1930.500000000003,124.048019742,-2054.548019742003,18
NIFTY,long,CE,2026-06-30,22850.0,2026-04-06 13:15:00,2026-04-06 15:15:00,22861.3,22970.9,1107.55,1201.0,65,TIME,6074.250000000003,160.3535577705,5913.896442229503,25
NIFTY,long,CE,2026-06-30,22900.0,2026-04-07 10:05:00,2026-04-07 10:45:00,22914.45,22931.75,1160.1,1154.0,65,OI_FLIP,-396.4999999999941,158.69619841099998,-555.196198410994,9
NIFTY,long,CE,2026-06-30,22900.0,2026-04-07 11:20:00,2026-04-07 11:40:00,22895.0,22921.25,1112.85,1162.3,65,OI_FLIP,3214.2500000000027,157.89175195650003,3056.3582480435025,5
NIFTY,long,CE,2026-06-30,23000.0,2026-04-07 13:35:00,2026-04-07 15:15:00,23014.15,23123.45,1146.05,1169.0,65,TIME,1491.750000000003,159.3037733855,1332.4462266145028,21
NIFTY,long,CE,2026-06-30,24000.0,2026-04-08 13:40:00,2026-04-08 14:50:00,24017.5,23987.65,956.8,943.3,65,OI_FLIP,-877.5,138.584965971,-1016.084965971,15
NIFTY,long,CE,2026-06-30,23900.0,2026-04-13 14:00:00,2026-04-13 15:15:00,23893.05,23825.6,945.0,913.45,65,TIME,-2050.7499999999973,136.2270525495,-2186.9770525494973,16
NIFTY,short,PE,2026-06-30,24200.0,2026-04-16 12:00:00,2026-04-16 14:30:00,24196.3,24221.2,583.4,584.45,65,OI_FLIP,68.25000000000443,103.5482908235,-35.29829082349556,31
NIFTY,long,CE,2026-06-30,24500.0,2026-04-21 09:50:00,2026-04-21 13:15:00,24501.4,24541.8,810.3,833.0,65,OI_FLIP,1475.500000000003,126.89895194299999,1348.601048057003,42
NIFTY,short,PE,2026-06-30,24400.0,2026-04-22 13:25:00,2026-04-22 15:15:00,24393.9,24378.45,551.65,559.15,65,TIME,487.5,100.921370118,386.578629882,23
NIFTY,short,PE,2026-06-30,23950.0,2026-04-24 10:25:00,2026-04-24 12:55:00,23943.95,23904.35,562.8,597.0,65,OI_FLIP,2223.0000000000027,103.801059658,2119.1989403420025,31
NIFTY,short,PE,2026-06-30,23850.0,2026-04-24 13:35:00,2026-04-24 15:15:00,23854.65,23916.65,576.0,575.9,65,TIME,-6.500000000001478,102.756748949,-109.25674894900148,21
NIFTY,long,CE,2026-06-30,24100.0,2026-04-27 09:50:00,2026-04-27 11:35:00,24082.25,23985.921,816.15,752.15,65,SL,-4160.0,121.604974943,-4281.604974943,22
NIFTY,long,CE,2026-06-30,24200.0,2026-04-29 10:05:00,2026-04-29 13:45:00,24202.7,24261.695900000002,760.8,790.45,65,SL,1927.250000000006,122.59357263749999,1804.6564273625058,45
NIFTY,long,CE,2026-06-30,23950.0,2026-04-30 13:25:00,2026-04-30 13:50:00,23967.5,24033.95,758.3,808.8,65,OI_FLIP,3282.5,123.76124004100001,3158.738759959,6
NIFTY,long,CE,2026-06-30,24050.0,2026-05-05 13:10:00,2026-05-05 15:15:00,24066.35,24050.45,738.6,714.5,65,TIME,-1566.5000000000014,116.82019060100001,-1683.3201906010013,26
NIFTY,long,CE,2026-06-30,24250.0,2026-05-06 14:25:00,2026-05-06 15:15:00,24252.05,24330.65,733.2,752.95,65,TIME,1283.75,119.2622145165,1164.4877854835,11
NIFTY,short,PE,2026-06-30,24150.0,2026-05-08 14:00:00,2026-05-08 14:40:00,24139.15,24235.7066,510.65,464.0,65,SL,-3032.2499999999986,93.30742910149999,-3125.5574291014987,9
NIFTY,long,CE,2026-06-30,24000.0,2026-05-11 13:55:00,2026-05-11 14:45:00,23994.3,23898.322799999998,666.5,609.65,65,SL,-3695.2500000000014,107.6521979165,-3802.9021979165013,11
NIFTY,short,PE,2026-06-30,23450.0,2026-05-12 14:10:00,2026-05-12 15:15:00,23466.25,23386.55,517.15,549.9,65,TIME,2128.75,99.29948280549998,2029.4505171945,14
NIFTY,long,CE,2026-06-30,23450.0,2026-05-13 10:25:00,2026-05-13 13:15:00,23460.85,23512.20115,699.9,749.2,65,SL,3204.5000000000045,118.04663426099998,3086.4533657390048,35
NIFTY,long,CE,2026-06-30,23650.0,2026-05-14 11:40:00,2026-05-14 14:45:00,23629.15,23705.8684,634.0,662.0,65,SL,1820.0,110.25039415999998,1709.74960584,38
NIFTY,short,PE,2026-06-30,23750.0,2026-05-15 11:10:00,2026-05-15 11:30:00,23743.05,23716.85,531.7,563.05,65,OI_FLIP,2037.749999999994,100.60844252250001,1937.1415574774942,5
NIFTY,short,PE,2026-06-30,23750.0,2026-05-15 13:35:00,2026-05-15 15:15:00,23761.7,23637.15,499.2,580.0,65,TIME,5252.000000000001,100.814671032,5151.185328968001,21
NIFTY,short,PE,2026-06-30,23700.0,2026-05-19 13:40:00,2026-05-19 15:15:00,23710.35,23609.05,505.25,550.0,65,TIME,2908.75,98.9623927275,2809.7876072725,20
NIFTY,long,CE,2026-06-30,23650.0,2026-05-20 14:10:00,2026-05-20 15:15:00,23661.1,23659.5,602.0,590.8,65,TIME,-728.000000000003,104.51480008800002,-832.514800088003,14
NIFTY,short,PE,2026-06-30,23700.0,2026-05-21 11:00:00,2026-05-21 13:35:00,23726.15,23667.389799999997,472.2,507.45,65,SL,2291.25,95.1323314015,2196.1176685985,32
NIFTY,short,PE,2026-06-30,23750.0,2026-05-22 14:30:00,2026-05-22 15:15:00,23739.4,23725.35,465.0,455.0,65,TIME,-650.0,91.3802582,-741.3802582,10
NIFTY,long,CE,2026-06-30,23950.0,2026-05-25 13:05:00,2026-05-25 15:15:00,23972.7,24025.55,491.05,520.5,65,TIME,1914.2499999999993,96.55878140050001,1817.6912185994993,27
NIFTY,short,PE,2026-06-30,23900.0,2026-05-27 14:30:00,2026-05-27 14:50:00,23890.25,23881.35,372.6,369.4,65,OI_FLIP,-208.00000000000296,82.92641981999999,-290.92641982000293,5
NIFTY,short,PE,2026-06-30,23750.0,2026-05-29 13:15:00,2026-05-29 15:00:00,23769.65,23636.798299999995,349.4,412.8,65,SL,4121.000000000002,85.188587962,4035.811412038002,22
NIFTY,short,PE,2026-06-30,23500.0,2026-06-01 12:00:00,2026-06-01 15:15:00,23493.65,23376.85,372.55,410.2,65,TIME,2447.2499999999986,85.68181925249999,2361.5681807474984,40
NIFTY,long,CE,2026-06-30,23350.0,2026-06-02 11:25:00,2026-06-02 11:30:00,23361.2,23334.55,435.8,423.5,65,OI_FLIP,-799.5000000000007,88.408086803,-887.9080868030007,2
NIFTY,long,CE,2026-06-30,23450.0,2026-06-03 14:25:00,2026-06-03 15:15:00,23434.7,23402.35,451.3,420.0,65,TIME,-2034.5000000000007,88.61946082300001,-2123.1194608230007,11
NIFTY,short,PE,2026-06-30,23350.0,2026-06-04 13:15:00,2026-06-04 14:00:00,23333.65,23410.05,360.0,319.15,65,OI_FLIP,-2655.2500000000014,79.1669685465,-2734.4169685465013,10
NIFTY,long,CE,2026-06-30,23450.0,2026-06-05 11:10:00,2026-06-05 11:40:00,23470.2,23422.8,427.8,387.75,65,OI_FLIP,-2603.250000000001,85.76131199049999,-2689.011311990501,7
NIFTY,short,PE,2026-06-30,23300.0,2026-06-05 13:45:00,2026-06-05 14:40:00,23300.4,23393.6016,343.6,275.3,65,SL,-4439.500000000001,75.73016351899999,-4515.230163519001,12
