symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held,limit_price,new_pe,net_pnl_limit,delta,cap
NIFTY,short,PE,2026-06-30,22800.0,2026-04-01 13:35:00,2026-04-01 13:40:00,22776.25,22716.29505,779.35,832.95,65,SL,3484.0000000000014,126.001282183,3357.9987178170013,2,779.35,779.35,3357.9987178170013,0.0,50657.75
BANKNIFTY,short,PE,2026-06-30,51800.0,2026-04-01 13:45:00,2026-04-01 14:05:00,51472.4,51678.2896,2177.0,2089.25,30,SL,-2632.5,141.387907825,-2773.887907825,5,2177.0,2177.0,-2773.887907825,0.0,65310.0
BANKNIFTY,long,CE,2026-06-30,50000.0,2026-04-02 12:00:00,2026-04-02 13:05:00,50192.8,50377.56255,3127.55,3294.15,30,SL,4997.999999999997,191.640497134,4806.3595028659975,14,3127.55,3127.55,4806.3595028659975,0.0,93826.5
BANKNIFTY,long,CE,2026-06-30,51000.0,2026-04-02 13:25:00,2026-04-02 13:35:00,50576.1,50715.84465,2709.15,2850.0,30,SL,4225.499999999997,172.209435583,4053.290564416997,3,2709.15,2709.15,4053.2905644169973,4.547473508864641e-13,81274.5
BANKNIFTY,long,CE,2026-06-30,51200.0,2026-04-02 14:15:00,2026-04-02 14:25:00,51170.45,51243.45,2416.8,2416.8,30,OI_FLIP,0.0,154.80086627199998,-154.80086627199998,3,2416.8,2416.8,-154.80086627199998,0.0,72504.0
NIFTY,long,CE,2026-06-30,22650.0,2026-04-02 14:20:00,2026-04-02 15:15:00,22651.55,22717.65,1019.35,1208.25,65,TIME,12278.499999999998,158.294924746,12120.205075253998,12,1019.35,1019.35,12120.205075253998,0.0,66257.75
BANKNIFTY,long,CE,2026-06-30,52300.0,2026-04-06 13:15:00,2026-04-06 14:05:00,52224.2,52276.4,2611.6,2611.6,30,OI_FLIP,0.0,163.473759664,-163.473759664,11,2611.6,2611.6,-163.473759664,0.0,78348.0
NIFTY,long,CE,2026-06-30,22850.0,2026-04-06 13:15:00,2026-04-06 15:15:00,22861.3,22970.9,1107.55,1201.0,65,TIME,6074.250000000003,160.3535577705,5913.896442229503,25,1107.55,1107.55,5913.896442229503,0.0,71990.75
NIFTY,long,CE,2026-06-30,22900.0,2026-04-07 11:20:00,2026-04-07 11:40:00,22895.0,22921.25,1112.85,1162.3,65,OI_FLIP,3214.2500000000027,157.89175195650003,3056.3582480435025,5,1112.85,1112.85,3056.3582480435025,0.0,72335.25
BANKNIFTY,long,CE,2026-06-30,52000.0,2026-04-07 11:30:00,2026-04-07 12:00:00,52200.45,52182.55,2983.5,3066.95,30,OI_FLIP,2503.4999999999945,182.633979709,2320.8660202909946,7,2983.5,2983.5,2320.8660202909946,0.0,89505.0
