symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
NIFTY,long,CE,2026-06-30,22900.0,2026-04-01 09:55:00,2026-04-01 10:20:00,22914.95,22823.2902,1155.0,1140.0,65,SL,-975.0,157.60285945,-1132.60285945,6
NIFTY,short,PE,2026-06-30,22800.0,2026-04-01 11:45:00,2026-04-01 12:45:00,22797.65,22868.65,778.0,740.5,65,OI_FLIP,-2437.5,119.715454635,-2557.215454635,13
NIFTY,short,PE,2026-06-30,22850.0,2026-04-01 13:20:00,2026-04-01 13:40:00,22843.0,22716.295049999997,781.25,795.45,65,SL,923.000000000003,123.522318007,799.477681993003,5
NIFTY,short,PE,2026-06-30,22250.0,2026-04-02 10:50:00,2026-04-02 11:20:00,22204.85,22212.0,675.05,675.05,65,OI_FLIP,0.0,112.318306721,-112.318306721,7
NIFTY,long,CE,2026-06-30,22650.0,2026-04-02 14:20:00,2026-04-02 15:15:00,22651.55,22717.65,1019.35,1208.25,65,TIME,12278.499999999998,158.294924746,12120.205075253998,12
NIFTY,short,PE,2026-06-30,22600.0,2026-04-06 09:50:00,2026-04-06 11:15:00,22591.1,22611.95,817.45,787.75,65,OI_FLIP,-1930.500000000003,124.048019742,-2054.548019742003,18
NIFTY,long,CE,2026-06-30,22850.0,2026-04-06 13:15:00,2026-04-06 15:15:00,22861.3,22970.9,1107.55,1201.0,65,TIME,6074.250000000003,160.3535577705,5913.896442229503,25
NIFTY,long,CE,2026-06-30,22900.0,2026-04-07 10:05:00,2026-04-07 10:45:00,22914.45,22931.75,1160.1,1154.0,65,OI_FLIP,-396.4999999999941,158.69619841099998,-555.196198410994,9
NIFTY,short,PE,2026-06-30,22850.0,2026-04-07 11:15:00,2026-04-07 11:35:00,22866.05,22957.514199999998,750.3,750.3,65,SL,0.0,119.577254326,-119.577254326,5
NIFTY,long,CE,2026-06-30,23000.0,2026-04-07 12:00:00,2026-04-07 14:35:00,22986.2,23001.3,1133.65,1143.0,65,OI_FLIP,607.7499999999941,157.1886665215,450.5613334784941,32
NIFTY,long,CE,2026-06-30,24000.0,2026-04-08 13:40:00,2026-04-08 14:00:00,24017.5,23967.35,956.8,935.1,65,OI_FLIP,-1410.4999999999955,138.030894349,-1548.5308943489954,5
NIFTY,short,PE,2026-06-30,23800.0,2026-04-09 09:50:00,2026-04-09 10:15:00,23815.95,23870.7,616.7,610.0,65,OI_FLIP,-435.50000000000296,106.236890757,-541.7368907570029,6
NIFTY,short,PE,2026-06-30,23800.0,2026-04-09 13:15:00,2026-04-09 15:00:00,23815.85,23753.848399999995,625.0,620.0,65,SL,-325.0,107.15241395,-432.15241395,22
NIFTY,long,CE,2026-06-30,23900.0,2026-04-13 14:00:00,2026-04-13 14:35:00,23893.05,23871.45,945.0,947.0,65,OI_FLIP,130.0,138.49401632000001,-8.494016320000014,8
NIFTY,short,PE,2026-06-30,24200.0,2026-04-15 13:25:00,2026-04-15 14:30:00,24197.25,24234.65,562.7,556.5,65,OI_FLIP,-403.00000000000296,101.061596932,-504.06159693200294,14
NIFTY,short,PE,2026-06-30,24300.0,2026-04-16 11:40:00,2026-04-16 13:50:00,24280.0,24175.108399999997,585.0,638.0,65,SL,3445.0,107.21288032999999,3337.78711967,27
NIFTY,long,CE,2026-06-30,24450.0,2026-04-20 10:35:00,2026-04-20 10:45:00,24427.85,24430.25,782.45,803.4,65,OI_FLIP,1361.7499999999955,124.09417085350003,1237.6558291464953,3
NIFTY,long,CE,2026-06-30,24500.0,2026-04-21 09:50:00,2026-04-21 13:15:00,24501.4,24541.8,810.3,833.0,65,OI_FLIP,1475.500000000003,126.89895194299999,1348.601048057003,42
NIFTY,short,PE,2026-06-30,24400.0,2026-04-22 11:50:00,2026-04-22 13:45:00,24405.65,24432.35,557.0,539.75,65,OI_FLIP,-1121.25,99.7651044425,-1221.0151044425,24
NIFTY,short,PE,2026-06-30,24400.0,2026-04-22 13:55:00,2026-04-22 14:35:00,24424.75,24416.1,545.0,550.55,65,OI_FLIP,360.74999999999704,100.1481207905,260.60187920949704,9
NIFTY,long,CE,2026-06-30,24250.0,2026-04-23 13:20:00,2026-04-23 15:15:00,24244.0,24159.7,786.8,777.0,65,TIME,-636.999999999997,122.436022498,-759.4360224979971,24
NIFTY,short,PE,2026-06-30,23950.0,2026-04-24 10:25:00,2026-04-24 12:55:00,23943.95,23904.35,562.8,597.0,65,OI_FLIP,2223.0000000000027,103.801059658,2119.1989403420025,31
NIFTY,short,PE,2026-06-30,23850.0,2026-04-24 13:35:00,2026-04-24 15:15:00,23854.65,23916.65,576.0,575.9,65,TIME,-6.500000000001478,102.756748949,-109.25674894900148,21
NIFTY,long,CE,2026-06-30,24100.0,2026-04-27 09:50:00,2026-04-27 11:05:00,24082.25,24030.55,816.15,800.0,65,OI_FLIP,-1049.7499999999986,124.83818556650002,-1174.5881855664986,16
NIFTY,long,CE,2026-06-30,24100.0,2026-04-27 13:05:00,2026-04-27 14:25:00,24082.5,24111.2,799.95,820.0,65,OI_FLIP,1303.249999999997,125.7214854645,1177.528514535497,17
NIFTY,long,CE,2026-06-30,24200.0,2026-04-29 09:55:00,2026-04-29 13:45:00,24176.2,24261.695900000002,740.25,790.45,65,SL,3263.0000000000027,121.99978634700001,3141.000213653003,47
NIFTY,long,CE,2026-06-30,23950.0,2026-04-30 13:15:00,2026-04-30 13:50:00,23948.85,24033.95,757.0,808.8,65,OI_FLIP,3366.9999999999973,123.723676918,3243.2763230819974,8
NIFTY,short,PE,2026-06-30,24050.0,2026-05-04 13:30:00,2026-05-04 14:15:00,24023.35,24119.4434,531.0,529.55,65,SL,-94.25000000000296,98.32463094049999,-192.57463094050294,10
NIFTY,short,PE,2026-06-30,23900.0,2026-05-05 11:50:00,2026-05-05 12:55:00,23902.7,23998.3108,551.95,509.75,65,SL,-2743.0000000000027,97.592094857,-2840.592094857003,14
NIFTY,long,CE,2026-06-30,24000.0,2026-05-05 13:05:00,2026-05-05 13:30:00,24018.95,24024.65,742.05,742.8,65,OI_FLIP,48.75,118.83210014349999,-70.08210014349999,6
NIFTY,short,PE,2026-06-30,24000.0,2026-05-06 13:05:00,2026-05-06 13:35:00,24000.95,24096.9538,532.25,468.7,65,SL,-4130.750000000001,94.24913247449999,-4224.999132474501,7
NIFTY,long,CE,2026-06-30,24150.0,2026-05-06 14:15:00,2026-05-06 14:20:00,24134.05,24182.88305,705.0,777.9,65,SL,4738.499999999998,120.13324795900002,4618.366752040998,2
NIFTY,long,CE,2026-06-30,24300.0,2026-05-06 14:30:00,2026-05-06 15:05:00,24314.7,24315.5,729.85,719.0,65,OI_FLIP,-705.2500000000015,116.8714255835,-822.1214255835015,8
NIFTY,short,PE,2026-06-30,24200.0,2026-05-08 13:35:00,2026-05-08 13:40:00,24186.05,24170.95,505.05,511.65,65,OI_FLIP,428.9999999999978,96.365315407,332.6346845929978,2
NIFTY,short,PE,2026-06-30,24150.0,2026-05-08 14:00:00,2026-05-08 14:30:00,24139.15,24195.45,510.65,500.9,65,OI_FLIP,-633.75,95.8007514005,-729.5507514005,7
NIFTY,long,CE,2026-06-30,24000.0,2026-05-11 13:55:00,2026-05-11 14:45:00,23994.3,23898.322799999998,666.5,609.65,65,SL,-3695.2500000000014,107.6521979165,-3802.9021979165013,11
NIFTY,short,PE,2026-06-30,23500.0,2026-05-12 14:05:00,2026-05-12 15:15:00,23484.05,23386.55,535.2,570.1,65,TIME,2268.4999999999986,101.185940463,2167.3140595369987,15
NIFTY,long,CE,2026-06-30,23450.0,2026-05-13 10:25:00,2026-05-13 13:00:00,23460.85,23559.35,699.9,749.2,65,OI_FLIP,3204.5000000000045,118.04663426099998,3086.4533657390048,32
