symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-04 14:15:00,2026-05-04 14:50:00,2494.5,2482.0275,160.0,150.05,309,SL,-3074.5499999999965,117.37622266030002,-3191.9262226602964,8
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-06 14:00:00,2026-05-06 14:20:00,2517.2,2542.372,158.0,173.05,309,TGT,4650.4500000000035,124.4894687863,4525.960531213704,5
ADANIENT,short,PE,2026-06-30,2500.0,2026-05-07 13:20:00,2026-05-07 15:15:00,2517.6,2516.9,110.0,109.0,309,TIME,-309.0,97.32225531399999,-406.322255314,24
ADANIENT,short,PE,2026-06-30,2440.0,2026-05-12 10:05:00,2026-05-12 10:20:00,2466.9,2479.2345,101.5,101.5,309,SL,0.0,93.74556671799999,-93.74556671799999,4
ADANIENT,short,PE,2026-06-30,2440.0,2026-05-12 13:10:00,2026-05-12 15:00:00,2428.8,2404.512,110.95,121.0,309,TGT,3105.449999999999,101.30734034170001,3004.1426596582987,23
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-13 11:45:00,2026-05-13 13:25:00,2479.0,2503.79,137.0,153.5,309,TGT,5098.5,115.325114743,4983.174885257,21
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-13 13:35:00,2026-05-13 13:55:00,2519.3,2506.7035,163.65,153.5,309,SL,-3136.3500000000017,118.9857855529,-3255.3357855529016,5
ADANIENT,long,CE,2026-06-30,2680.0,2026-05-14 11:50:00,2026-05-14 11:50:00,2688.3,2674.8585000000003,145.0,145.0,309,SL,0.0,113.69366673999998,-113.69366673999998,1
ADANIENT,long,CE,2026-06-30,2700.0,2026-05-14 14:35:00,2026-05-14 15:15:00,2701.4,2712.9,171.0,176.0,309,TIME,1545.0,127.22274908200002,1417.777250918,9
ADANIENT,short,PE,2026-06-30,2680.0,2026-05-18 10:45:00,2026-05-18 11:00:00,2671.4,2684.7569999999996,137.45,140.15,309,SL,834.3000000000053,111.09869351559999,723.2013064844053,4
ADANIENT,short,PE,2026-06-30,2700.0,2026-05-19 11:15:00,2026-05-19 11:35:00,2704.9,2718.4244999999996,137.85,133.9,309,SL,-1220.5499999999965,109.1460378805,-1329.6960378804965,5
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-20 14:10:00,2026-05-20 15:15:00,2710.9,2705.7,139.0,145.0,309,TIME,1854.0,112.86950070399999,1741.130499296,14
