symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-04 14:15:00,2026-05-04 15:15:00,2494.5,2485.3,160.0,143.15,309,TIME,-5206.649999999998,115.15983221890001,-5321.809832218898,13
ADANIENT,short,PE,2026-06-30,2440.0,2026-05-12 13:10:00,2026-05-12 15:15:00,2428.8,2407.6,110.95,121.0,309,OI_FLIP,3105.449999999999,101.30734034170001,3004.1426596582987,26
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-13 13:35:00,2026-05-13 15:15:00,2519.3,2503.0,163.65,150.15,309,TIME,-4171.5,117.90971193280001,-4289.4097119328,21
ADANIENT,long,CE,2026-06-30,2680.0,2026-05-14 11:50:00,2026-05-14 12:25:00,2688.3,2679.9,145.0,145.0,309,OI_FLIP,0.0,113.69366673999998,-113.69366673999998,8
ADANIENT,long,CE,2026-06-30,2700.0,2026-05-14 14:35:00,2026-05-14 15:15:00,2701.4,2712.9,171.0,176.0,309,TIME,1545.0,127.22274908200002,1417.777250918,9
ADANIENT,short,PE,2026-06-30,2680.0,2026-05-18 10:45:00,2026-05-18 15:15:00,2671.4,2687.8,137.45,144.7,309,TIME,2240.25,112.56022634290001,2127.6897736571,55
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-20 14:10:00,2026-05-20 15:15:00,2710.9,2705.7,139.0,145.0,309,TIME,1854.0,112.86950070399999,1741.130499296,14
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-22 14:15:00,2026-05-22 15:15:00,2727.0,2718.1,140.5,136.0,309,TIME,-1390.5,110.18459815899999,-1500.684598159,13
ADANIENT,long,CE,2026-06-30,2800.0,2026-05-25 11:00:00,2026-05-25 15:15:00,2802.4,2850.9,141.95,162.0,309,TIME,6195.4500000000035,118.73538777369998,6076.714612226304,52
ADANIENT,long,CE,2026-06-30,2920.0,2026-05-26 11:50:00,2026-05-26 15:15:00,2926.2,2971.6,141.15,165.6,309,TIME,7555.0499999999965,119.78187659049999,7435.268123409496,42
ADANIPORTS,short,PE,2026-06-30,1600.0,2026-04-30 14:05:00,2026-04-30 15:15:00,1616.6,1668.1,70.0,55.0,475,TIME,-7125.0,89.13858125000002,-7214.13858125,15
ADANIPORTS,long,CE,2026-06-30,1720.0,2026-05-04 11:10:00,2026-05-04 15:15:00,1734.6,1741.5,90.25,97.9,475,TIME,3633.7500000000027,114.5975467475,3519.1524532525027,50
ADANIPORTS,short,PE,2026-06-30,1700.0,2026-05-12 14:00:00,2026-05-12 15:15:00,1691.6,1689.3,71.0,73.0,475,TIME,950.0,98.2377506,851.7622494,16
ADANIPORTS,long,CE,2026-06-30,1800.0,2026-05-25 10:55:00,2026-05-25 15:15:00,1804.2,1803.0,66.95,64.8,475,TIME,-1021.2500000000027,93.33359338749999,-1114.5835933875028,53
ASIANPAINT,long,CE,2026-06-30,2660.0,2026-05-22 11:05:00,2026-05-22 11:15:00,2654.8,2653.8,94.4,93.2,250,OI_FLIP,-300.0000000000007,81.91214459999999,-381.91214460000066,3
ASIANPAINT,short,PE,2026-06-30,2680.0,2026-05-29 14:10:00,2026-05-29 14:15:00,2674.7,2717.1,101.3,77.8,250,OI_FLIP,-5875.0,78.67675985000001,-5953.67675985,2
ASIANPAINT,short,PE,2026-07-28,2680.0,2026-06-24 10:00:00,2026-06-24 11:10:00,2657.6,2663.8,69.9,76.6,250,OI_FLIP,1674.9999999999973,74.87530774999999,1600.1246922499972,15
