symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-04 14:15:00,2026-05-04 14:35:00,2494.5,2484.522,160.0,150.05,309,SL,-3074.5499999999965,117.37622266030002,-3191.9262226602964,5
ADANIENT,short,PE,2026-06-30,2440.0,2026-05-12 13:10:00,2026-05-12 14:00:00,2428.8,2409.3696,110.95,121.0,309,TGT,3105.449999999999,101.30734034170001,3004.1426596582987,11
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-13 13:35:00,2026-05-13 13:50:00,2519.3,2509.2228,163.65,153.6,309,SL,-3105.4500000000035,119.0179071535,-3224.4679071535033,4
ADANIENT,long,CE,2026-06-30,2680.0,2026-05-14 11:50:00,2026-05-14 11:50:00,2688.3,2677.5468,145.0,145.0,309,SL,0.0,113.69366673999998,-113.69366673999998,1
ADANIENT,long,CE,2026-06-30,2700.0,2026-05-14 14:35:00,2026-05-14 15:15:00,2701.4,2712.9,171.0,176.0,309,TIME,1545.0,127.22274908200002,1417.777250918,9
ADANIENT,short,PE,2026-06-30,2680.0,2026-05-18 10:45:00,2026-05-18 10:55:00,2671.4,2682.0856,137.45,140.15,309,SL,834.3000000000053,111.09869351559999,723.2013064844053,3
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-20 14:10:00,2026-05-20 14:25:00,2710.9,2700.0564,139.0,139.0,309,SL,0.0,110.94220466799999,-110.94220466799999,4
ADANIENT,long,CE,2026-06-30,2820.0,2026-05-25 13:05:00,2026-05-25 13:10:00,2817.5,2840.04,140.65,156.2,309,TGT,4804.949999999994,116.69376563109998,4688.256234368894,2
ADANIPORTS,long,CE,2026-06-30,1720.0,2026-05-04 11:10:00,2026-05-04 11:40:00,1734.6,1748.4768,90.25,104.0,475,TGT,6531.25,117.6095965125,6413.6404034875,7
ASIANPAINT,short,PE,2026-06-30,2680.0,2026-05-29 14:10:00,2026-05-29 14:10:00,2674.7,2685.3988,101.3,84.1,250,SL,-4300.000000000001,80.3140259,-4380.314025900001,1
AXISBANK,long,CE,2026-06-30,1280.0,2026-05-22 10:15:00,2026-05-22 12:50:00,1275.8,1286.0064,40.5,46.2,625,TGT,3562.500000000002,88.468811125,3474.031188875002,32
BAJAJ-AUTO,short,PE,2026-06-30,8600.0,2026-04-28 11:30:00,2026-04-28 12:55:00,9588.5,9511.792,73.0,73.0,75,TGT,0.0,55.32527230000001,-55.32527230000001,18
BAJAJFINSV,short,PE,2026-06-30,1700.0,2026-05-14 13:45:00,2026-05-14 13:50:00,1725.0,1731.9,45.0,45.0,250,SL,0.0,63.895765,-63.895765,2
BAJAJFINSV,long,CE,2026-06-30,1780.0,2026-05-21 10:05:00,2026-05-21 10:25:00,1776.6,1769.4936,59.0,61.65,250,SL,662.4999999999997,69.778694275,592.7213057249996,5
BHARTIARTL,long,CE,2026-07-28,1920.0,2026-06-19 14:20:00,2026-06-19 14:25:00,1911.3,1903.6548,39.0,35.0,475,SL,-1900.0,72.71724510000001,-1972.7172451000001,2
BHARTIARTL,long,CE,2026-07-28,1900.0,2026-06-24 11:15:00,2026-06-24 11:15:00,1892.3,1884.7308,38.65,36.9,475,SL,-831.25,73.5815207575,-904.8315207575,1
CIPLA,long,CE,2026-06-30,1410.0,2026-05-21 10:20:00,2026-05-21 11:15:00,1408.6,1402.9656,44.65,44.65,375,SL,0.0,72.048863575,-72.048863575,12
COALINDIA,short,PE,2026-06-30,460.0,2026-05-07 13:10:00,2026-05-07 13:10:00,460.0,461.84,20.0,17.7,1350,SL,-3105.000000000001,84.04208293,-3189.042082930001,1
COALINDIA,short,PE,2026-06-30,460.0,2026-05-14 14:35:00,2026-05-14 14:35:00,461.1,457.4112,16.5,22.0,1350,TGT,7425.0,87.97615465,7337.02384535,1
COALINDIA,long,CE,2026-06-30,475.0,2026-05-26 10:55:00,2026-05-26 11:55:00,472.75,470.859,15.2,13.85,1350,SL,-1822.4999999999995,75.75852464500001,-1898.2585246449996,13
COALINDIA,long,CE,2026-06-30,455.0,2026-05-27 14:35:00,2026-05-27 14:40:00,455.4,459.04319999999996,12.9,14.25,1350,TGT,1822.4999999999995,74.939594935,1747.5604050649995,2
COALINDIA,long,CE,2026-06-30,475.0,2026-06-01 11:35:00,2026-06-01 11:35:00,475.65,473.74739999999997,15.75,14.5,1350,SL,-1687.5,77.00078222499998,-1764.500782225,1
COALINDIA,long,CE,2026-06-30,475.0,2026-06-04 10:55:00,2026-06-04 11:25:00,477.5,481.32,15.3,17.95,1350,TGT,3577.499999999998,81.57235742499999,3495.927642574998,7
COALINDIA,long,CE,2026-06-30,445.0,2026-06-12 14:05:00,2026-06-12 15:15:00,444.3,443.75,8.8,8.55,1350,TIME,-337.5,64.479885115,-401.979885115,15
DIVISLAB,long,CE,2026-06-30,6550.0,2026-06-02 14:25:00,2026-06-02 14:30:00,6533.0,6506.868,172.1,175.0,100,SL,290.00000000000057,73.04227514,216.95772486000055,2
DIVISLAB,short,PE,2026-06-30,6650.0,2026-06-12 10:05:00,2026-06-12 10:15:00,6639.5,6666.058,107.85,91.2,100,SL,-1664.999999999999,61.47484927,-1726.4748492699991,3
DLF,short,PE,2026-06-30,590.0,2026-05-21 10:40:00,2026-05-21 11:25:00,585.4,587.7416,24.95,24.3,825,SL,-536.2499999999989,77.19023458750002,-613.4402345874989,10
DLF,long,CE,2026-06-30,615.0,2026-06-15 11:55:00,2026-06-15 14:25:00,612.8,617.7024,17.15,18.05,825,TGT,742.5000000000017,68.96956111,673.5304388900017,31
DLF,long,CE,2026-06-30,620.0,2026-06-16 10:00:00,2026-06-16 12:15:00,622.5,620.01,18.3,14.75,825,SL,-2928.7500000000005,66.56118142749999,-2995.3111814275003,28
DRREDDY,short,PE,2026-06-30,1270.0,2026-05-12 14:30:00,2026-05-12 15:15:00,1272.7,1271.7,59.8,59.8,625,TIME,0.0,102.66704149999998,-102.66704149999998,10
DRREDDY,short,PE,2026-07-28,1330.0,2026-06-24 10:20:00,2026-06-24 10:40:00,1328.7,1334.0148000000002,51.5,47.75,625,SL,-2343.75,92.5320309375,-2436.2820309375,5
EICHERMOT,long,CE,2026-06-30,6900.0,2026-05-20 14:10:00,2026-05-20 14:35:00,6902.0,6874.392,322.0,303.0,100,SL,-1900.0,93.01187499999999,-1993.011875,6
EICHERMOT,long,CE,2026-06-30,7600.0,2026-06-15 13:25:00,2026-06-15 15:15:00,7621.0,7624.0,165.85,163.5,100,TIME,-234.99999999999943,71.56897729,-306.56897728999945,23
GRASIM,long,CE,2026-06-30,3000.0,2026-05-11 11:45:00,2026-05-11 12:40:00,2973.8,2997.5904,74.25,74.25,250,TGT,0.0,74.74801225,-74.74801225,12
GRASIM,short,PE,2026-06-30,2900.0,2026-05-20 13:55:00,2026-05-20 13:55:00,2897.1,2908.6884,90.9,88.05,250,SL,-712.5000000000022,80.184777325,-792.6847773250022,1
HCLTECH,short,PE,2026-06-30,1300.0,2026-04-23 11:55:00,2026-04-23 12:10:00,1273.5,1278.594,100.1,100.1,350,SL,0.0,99.19432238,-99.19432238,4
HCLTECH,short,PE,2026-06-30,1200.0,2026-04-24 11:55:00,2026-04-24 13:00:00,1213.7,1203.9904000000001,61.0,69.9,350,TGT,3115.000000000002,82.12300021,3032.8769997900017,14
HINDALCO,long,CE,2026-06-30,1110.0,2026-05-21 10:00:00,2026-05-21 10:35:00,1107.4,1102.9704000000002,48.55,45.9,700,SL,-1854.999999999999,95.70771540999999,-1950.707715409999,8
HINDALCO,long,CE,2026-07-28,1000.0,2026-06-17 10:40:00,2026-06-17 10:40:00,1003.2,999.1872000000001,43.0,42.35,700,SL,-454.999999999999,91.39745883000002,-546.397458829999,1
HINDALCO,long,CE,2026-07-28,1010.0,2026-06-17 13:45:00,2026-06-17 13:50:00,1008.8,1004.7647999999999,32.85,32.85,700,SL,0.0,81.32614366000001,-81.32614366000001,2
HINDUNILVR,long,CE,2026-06-30,2400.0,2026-04-30 10:35:00,2026-04-30 10:35:00,2351.8,2342.3928,67.0,84.95,300,SL,5385.000000000001,82.62765739,5302.3723426100005,1
INDUSINDBK,short,PE,2026-06-30,900.0,2026-05-07 13:20:00,2026-05-07 14:05:00,943.6,947.3744,22.0,22.0,700,SL,0.0,70.0546472,-70.0546472,10
INDUSINDBK,short,PE,2026-06-30,900.0,2026-05-19 11:55:00,2026-05-19 12:10:00,894.05,897.6261999999999,35.5,35.5,700,SL,0.0,84.0790898,-84.0790898,4
INFY,long,CE,2026-06-30,1275.0,2026-04-22 14:00:00,2026-04-22 15:15:00,1268.4,1268.2,50.0,55.0,400,TIME,2000.0,78.960428,1921.039572,16
INFY,short,PE,2026-06-30,1175.0,2026-04-24 14:00:00,2026-04-24 14:25:00,1153.2,1157.8128000000002,91.75,89.95,400,SL,-719.9999999999989,100.91683112000001,-820.9168311199988,6
INFY,short,PE,2026-06-30,1175.0,2026-05-04 10:15:00,2026-05-04 13:20:00,1178.2,1168.7744,56.75,65.4,400,TGT,3460.0000000000023,84.48513124,3375.514868760002,38
KOTAKBANK,long,CE,2026-06-30,370.0,2026-05-06 14:25:00,2026-05-06 14:45:00,371.5,374.472,15.55,18.5,2000,TGT,5899.999999999998,99.4877654,5800.512234599998,5
KOTAKBANK,short,PE,2026-06-30,380.0,2026-05-19 14:35:00,2026-05-19 15:15:00,382.5,382.3,10.15,11.05,2000,TIME,1800.0000000000007,79.1977416,1720.8022584000007,9
