symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-04 14:15:00,2026-05-04 14:35:00,2494.5,2484.522,160.0,150.05,927,SL,-9223.649999999989,257.7286679809,-9481.378667980889,5
ADANIENT,short,PE,2026-06-30,2440.0,2026-05-12 13:10:00,2026-05-12 13:50:00,2428.8,2424.3513,110.95,121.0,927,SL,9316.349999999997,209.5220210251,9106.827978974896,9
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-13 13:35:00,2026-05-13 13:50:00,2519.3,2509.2228,163.65,153.6,927,SL,-9316.350000000011,262.6537214605,-9579.00372146051,4
ADANIENT,long,CE,2026-06-30,2680.0,2026-05-14 11:50:00,2026-05-14 11:50:00,2688.3,2677.5468,145.0,145.0,927,SL,0.0,246.68100022000002,-246.68100022000002,1
ADANIENT,long,CE,2026-06-30,2700.0,2026-05-14 14:35:00,2026-05-14 15:00:00,2701.4,2706.855,171.0,176.55,927,SL,5144.85000000001,287.7982536559,4857.05174634411,6
ADANIENT,short,PE,2026-06-30,2680.0,2026-05-18 10:45:00,2026-05-18 10:45:00,2671.4,2660.1565999999993,137.45,144.85,927,SL,6859.800000000006,243.4252262314,6616.374773768605,1
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-20 14:10:00,2026-05-20 14:25:00,2710.9,2700.0564,139.0,139.0,927,SL,0.0,238.426614004,-238.426614004,4
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-22 14:15:00,2026-05-22 14:30:00,2727.0,2716.092,140.5,136.75,927,SL,-3476.25,236.87653049050002,-3713.1265304905,4
ADANIENT,long,CE,2026-06-30,2800.0,2026-05-25 11:00:00,2026-05-25 11:00:00,2802.4,2791.1904,141.95,138.0,927,SL,-3661.6499999999896,238.6786108891,-3900.3286108890898,1
ADANIENT,long,CE,2026-06-30,2820.0,2026-05-25 13:05:00,2026-05-25 13:05:00,2817.5,2825.498,140.65,140.5,927,SL,-139.05000000000527,240.5520230107,-379.60202301070524,1
ADANIENT,long,CE,2026-06-30,2860.0,2026-05-25 13:15:00,2026-05-25 13:25:00,2849.5,2838.102,134.0,131.0,927,SL,-2781.0,228.65701477000002,-3009.65701477,3
ADANIENT,long,CE,2026-06-30,2920.0,2026-05-26 11:50:00,2026-05-26 12:30:00,2926.2,2930.4821,141.15,149.6,927,SL,7833.14999999999,249.52726148349998,7583.622738516489,9
ADANIPORTS,short,PE,2026-06-30,1600.0,2026-04-30 14:05:00,2026-04-30 14:05:00,1616.6,1601.5903999999998,70.0,82.0,1425,SL,17100.0,213.0118144,16886.9881856,1
ADANIPORTS,long,CE,2026-06-30,1720.0,2026-05-04 11:10:00,2026-05-04 11:15:00,1734.6,1736.774,90.25,90.25,1425,SL,0.0,238.06042022500003,-238.06042022500003,2
ADANIPORTS,short,PE,2026-06-30,1700.0,2026-05-12 14:00:00,2026-05-12 14:15:00,1691.6,1698.3663999999999,71.0,72.0,1425,SL,1425.0,198.83191585,1226.16808415,4
ADANIPORTS,long,CE,2026-06-30,1800.0,2026-05-25 10:55:00,2026-05-25 11:55:00,1804.2,1796.9832000000001,66.95,62.0,1425,SL,-7053.750000000004,181.4530395025,-7235.203039502504,13
ASIANPAINT,long,CE,2026-06-30,2660.0,2026-05-22 11:05:00,2026-05-22 11:15:00,2654.8,2653.8,94.4,93.2,750,OI_FLIP,-900.0000000000022,151.3364338,-1051.3364338000022,3
ASIANPAINT,short,PE,2026-06-30,2680.0,2026-05-29 14:10:00,2026-05-29 14:10:00,2674.7,2685.3988,101.3,84.1,750,SL,-12900.000000000002,146.5420777,-13046.542077700002,1
ASIANPAINT,short,PE,2026-07-28,2680.0,2026-06-24 10:00:00,2026-06-24 10:00:00,2657.6,2668.2304,69.9,69.9,750,SL,0.0,125.00226490000001,-125.00226490000001,1
AXISBANK,long,CE,2026-06-30,1300.0,2026-05-06 14:25:00,2026-05-06 14:35:00,1290.0,1293.7071999999998,51.0,53.3,1875,SL,4312.4999999999945,193.596992875,4118.9030071249945,3
AXISBANK,short,PE,2026-06-30,1250.0,2026-05-14 10:50:00,2026-05-14 11:15:00,1239.0,1243.956,43.0,44.5,1875,SL,2812.5,169.77667187499998,2642.723328125,6
AXISBANK,short,PE,2026-06-30,1240.0,2026-05-19 13:55:00,2026-05-19 15:05:00,1237.5,1242.45,34.95,37.4,1875,SL,4593.749999999992,149.2281904375,4444.521809562491,15
AXISBANK,long,CE,2026-06-30,1240.0,2026-05-20 10:35:00,2026-05-20 11:05:00,1239.8,1242.0626,46.1,49.4,1875,SL,6187.4999999999945,181.91124437499997,6005.5887556249945,7
AXISBANK,long,CE,2026-06-30,1280.0,2026-05-22 10:15:00,2026-05-22 12:50:00,1275.8,1282.6405,40.5,46.2,1875,SL,10687.500000000005,171.00643337499997,10516.493566625006,32
BAJAJ-AUTO,short,PE,2026-06-30,8600.0,2026-04-28 11:30:00,2026-04-28 12:35:00,9588.5,9544.547999999999,73.0,73.0,225,SL,0.0,71.5758169,-71.5758169,14
