symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,2026-04-01 10:10:00,2026-04-01 10:25:00,1857.2,1848.82489071432,53,SL,-443.88079214104437,81.76536405958865,-525.646156200633,4
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 13:55:00,2428.8,2411.1687576413055,41,TGT,722.88093670648,82.24957860868567,640.6313580977944,10
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:45:00,2519.3,2510.504510232466,39,SL,-343.0241009338274,81.73117820408612,-424.75527913791353,3
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2688.3,2674.9669745069746,37,SL,-493.3219432419478,82.11617676267365,-575.4381200046214,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 15:15:00,2701.4,2712.9,37,TIME,425.5,82.5500009766,342.9499990234,9
ADANIENT,long,2026-05-20 14:10:00,2026-05-20 14:10:00,2710.9,2705.479059330093,36,SL,-195.15386411664986,81.54077845488933,-276.6946425715392,1
ADANIENT,long,2026-05-25 11:00:00,2026-05-25 11:00:00,2802.4,2792.6807847226482,35,SL,-340.17253470731475,81.67253574408088,-421.8450704513956,1
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 13:05:00,2817.5,2833.8506748412137,35,TGT,572.2736194424806,82.11997243899854,490.15364700348204,1
ADANIPORTS,long,2026-04-06 13:20:00,2026-04-06 14:10:00,1376.6,1386.2152213352686,72,TGT,692.2959361393423,82.33150356701742,609.9644325723249,11
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 11:35:00,1373.8,1378.2900105294982,72,SL,-323.28075812387397,82.08370573868751,-405.3644638625615,9
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 12:05:00,1734.6,1727.1601452198465,57,SL,-424.0717224687428,81.92632428156466,-505.9980467503075,12
ASIANPAINT,short,2026-04-02 10:30:00,2026-04-02 10:35:00,2159.7,2168.1237450667227,46,SL,-387.4922730692515,82.24042894567629,-469.7327020149278,2
ASIANPAINT,long,2026-04-21 10:40:00,2026-04-21 11:50:00,2572.3,2561.4878131650157,38,SL,-410.86309972940944,81.53366692321687,-492.3967666526263,15
ASIANPAINT,short,2026-06-24 10:00:00,2026-06-24 10:00:00,2657.6,2668.907665455635,37,SL,-418.38362185850565,81.88473597614119,-500.26835783464685,1
AXISBANK,long,2026-04-07 13:35:00,2026-04-07 13:55:00,1239.7,1237.1327132157526,80,SL,-205.38294273979773,82.09599361383135,-287.4789363536291,5
