symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 15:15:00,2428.8,2407.6,41,TIME,869.2000000000112,82.2398884824,786.9601115176112,26
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:50:00,2519.3,2509.2228,39,SL,-393.01080000000684,81.7168707111592,-474.72767071116607,4
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2688.3,2677.5468,37,SL,-397.86840000000393,82.14349804854159,-480.0118980485455,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 15:15:00,2701.4,2712.9,37,TIME,425.5,82.5500009766,342.9499990234,9
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 15:15:00,2817.5,2850.9,35,TIME,1169.0000000000032,82.290771044,1086.7092289560032,27
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 11:55:00,1373.8,1379.2952,72,SL,-395.6544000000049,82.0884987554944,-477.7428987554993,13
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 12:05:00,1734.6,1727.6616,57,SL,-395.4888000000001,81.9345054571312,-477.4233054571313,12
ASIANPAINT,long,2026-04-21 10:40:00,2026-04-21 11:50:00,2572.3,2562.0108,38,SL,-390.98960000000625,81.5393552355504,-472.5289552355566,15
BHARTIARTL,long,2026-06-19 14:20:00,2026-06-19 14:25:00,1911.3,1903.6548,52,SL,-397.55039999999644,82.11556913440961,-479.66596913440605,2
COALINDIA,short,2026-04-10 13:30:00,2026-04-10 13:35:00,429.95,431.6698,232,SL,-398.9936000000048,82.38294682695361,-481.3765468269584,2
COALINDIA,short,2026-05-07 13:10:00,2026-05-07 13:10:00,460.0,461.84,217,SL,-399.2799999999946,82.40820135727999,-481.6882013572746,1
COALINDIA,short,2026-05-14 14:35:00,2026-05-14 14:35:00,461.1,454.18350000000004,216,TGT,1493.9639999999968,82.20443405533601,1411.7595659446608,1
COALINDIA,long,2026-05-26 10:55:00,2026-05-26 11:55:00,472.75,470.859,211,SL,-399.0010000000041,82.242970652774,-481.2439706527781,13
COALINDIA,long,2026-05-27 14:35:00,2026-05-27 14:50:00,455.4,453.5784,219,SL,-398.9303999999977,82.2367700825296,-481.16717008252726,4
COALINDIA,long,2026-06-01 11:35:00,2026-06-01 11:35:00,475.65,473.74739999999997,210,SL,-399.5460000000014,82.290836244604,-481.8368362446054,1
COALINDIA,long,2026-06-04 11:30:00,2026-06-04 15:15:00,481.7,482.2,207,TIME,103.5,82.3732829698,21.1267170302,46
DLF,long,2026-06-15 11:55:00,2026-06-15 15:15:00,612.8,615.5,163,TIME,440.1000000000074,82.53112951539998,357.56887048460743,41
