symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,short,2026-04-06 10:45:00,2026-04-06 10:45:00,1841.4,1848.7656000000002,54,SL,-397.74240000000464,82.2726169793824,-480.01501697938704,1
ADANIENT,long,2026-04-08 10:50:00,2026-04-08 10:50:00,2055.0,2046.78,48,SL,-394.5600000000013,81.85293194944,-476.4129319494413,1
ADANIENT,short,2026-04-08 13:35:00,2026-04-08 15:15:00,2042.0,2045.4,48,TIME,-163.20000000000437,81.7567433152,-244.95674331520436,21
ADANIENT,short,2026-04-23 11:10:00,2026-04-23 11:50:00,2288.0,2297.152,43,SL,-393.5360000000019,81.901699883136,-475.4376998831379,9
ADANIENT,short,2026-05-04 14:15:00,2026-05-04 15:15:00,2494.5,2485.3,40,TIME,367.9999999999927,82.34328939199999,285.65671060799275,13
ADANIENT,long,2026-05-12 13:10:00,2026-05-12 13:50:00,2428.8,2419.0848,41,SL,-398.3232000000039,82.1834416653568,-480.5066416653607,9
ADANIENT,short,2026-05-13 13:35:00,2026-05-13 15:00:00,2519.3,2494.107,39,TGT,982.5270000000082,81.764291787298,900.7627082127102,18
ADANIENT,short,2026-05-14 11:50:00,2026-05-14 13:20:00,2688.3,2661.4170000000004,37,TGT,994.670999999993,82.19150524755402,912.479494752439,19
ADANIENT,short,2026-05-14 14:35:00,2026-05-14 15:00:00,2701.4,2712.2056000000002,37,SL,-399.8072000000052,82.4546894452272,-482.2618894452324,6
ADANIENT,long,2026-05-18 10:45:00,2026-05-18 10:45:00,2671.4,2660.7144000000003,37,SL,-395.3671999999924,81.92382572141281,-477.2910257214052,1
ADANIENT,short,2026-05-25 13:05:00,2026-05-25 13:05:00,2817.5,2828.77,35,SL,-394.44999999999936,81.9822956957,-476.4322956956994,1
ADANIPORTS,long,2026-04-07 10:55:00,2026-04-07 15:15:00,1373.8,1379.9,72,TIME,439.2000000000098,82.1880066064,357.0119933936098,53
ADANIPORTS,short,2026-04-10 14:20:00,2026-04-10 15:15:00,1472.7,1474.9,67,TIME,-147.40000000000305,81.98651775920001,-229.38651775920306,12
ADANIPORTS,short,2026-05-04 11:10:00,2026-05-04 11:15:00,1734.6,1741.5384,57,SL,-395.4888000000001,82.0738962756688,-477.5626962756689,2
ASIANPAINT,short,2026-04-21 10:40:00,2026-04-21 12:55:00,2572.3,2546.577,38,TGT,977.4739999999983,81.586532431676,895.8874675683223,28
ASIANPAINT,long,2026-05-29 14:10:00,2026-05-29 14:10:00,2674.7,2701.4469999999997,37,TGT,989.6389999999942,82.363284895214,907.2757151047803,1
BAJAJ-AUTO,long,2026-04-01 11:10:00,2026-04-01 11:45:00,8975.0,8939.1,11,SL,-394.899999999996,81.88279305260001,-476.782793052596,8
BAJAJ-AUTO,long,2026-04-01 14:35:00,2026-04-01 14:40:00,8913.0,8877.348,11,SL,-392.1720000000005,81.64320161312799,-473.81520161312847,2
BAJAJ-AUTO,long,2026-04-09 13:25:00,2026-04-09 13:35:00,9523.0,9484.908,10,SL,-380.92000000000553,80.65497475208,-461.5749747520855,3
BAJAJ-AUTO,long,2026-04-16 10:35:00,2026-04-16 13:05:00,9803.5,9764.286,10,SL,-392.1399999999994,81.64039115636001,-473.7803911563594,31
BAJAJ-AUTO,long,2026-04-28 11:30:00,2026-04-28 12:05:00,9588.5,9550.146,10,SL,-383.5399999999936,80.88508089996,-464.4250808999536,8
BAJAJ-AUTO,short,2026-04-30 10:45:00,2026-04-30 11:05:00,9815.0,9716.85,10,TGT,981.4999999999964,81.72816298099998,899.7718370189964,5
BAJAJ-AUTO,short,2026-06-01 13:55:00,2026-06-01 14:50:00,10453.0,10348.47,9,TGT,940.7700000000059,80.29532336998,860.4746766300259,12
BAJAJFINSV,long,2026-04-07 11:15:00,2026-04-07 11:55:00,1650.6,1667.106,60,TGT,990.3600000000051,82.38890305336,907.9710969466452,9
BAJAJFINSV,short,2026-04-07 13:35:00,2026-04-07 14:25:00,1670.0,1676.68,59,SL,-394.12000000000376,81.95319655111999,-476.0731965511237,11
BAJAJFINSV,long,2026-04-09 13:45:00,2026-04-09 14:30:00,1766.5,1759.434,56,SL,-395.69600000000173,81.95270316470399,-477.6487031647057,10
BAJAJFINSV,short,2026-05-21 10:05:00,2026-05-21 11:05:00,1776.6,1758.8339999999998,56,TGT,994.8960000000043,82.199420516704,912.6965794833003,13
BAJFINANCE,long,2026-04-01 13:50:00,2026-04-01 14:30:00,826.9,823.5924,120,SL,-396.91199999999753,82.059500521888,-478.97150052188556,9
BHARTIARTL,long,2026-04-01 13:50:00,2026-04-01 15:15:00,1781.5,1783.0,56,TIME,84.0,82.386064312,1.613935687999998,18
BHARTIARTL,short,2026-06-19 14:20:00,2026-06-19 15:15:00,1911.3,1912.3,52,TIME,-52.0,82.2328021472,-134.2328021472,12
CIPLA,short,2026-04-08 10:55:00,2026-04-08 11:30:00,1212.5,1217.35,82,SL,-397.69999999999254,82.2688781802,-479.9688781801925,8
CIPLA,long,2026-05-08 11:35:00,2026-05-08 12:05:00,1350.5,1345.098,74,SL,-399.74800000000323,82.30857725295199,-482.0565772529552,7
COALINDIA,long,2026-04-10 13:30:00,2026-04-10 13:55:00,429.95,434.2495,232,TGT,997.4840000000054,82.64202893218399,914.8419710678214,6
COALINDIA,long,2026-05-07 13:10:00,2026-05-07 13:10:00,460.0,458.16,217,SL,-399.2799999999946,82.26747432272,-481.5474743227146,1
COALINDIA,long,2026-05-14 14:35:00,2026-05-14 14:35:00,461.1,459.2556,216,SL,-398.3904000000016,82.1893436245696,-480.57974362457117,1
COALINDIA,short,2026-05-26 10:55:00,2026-05-26 11:00:00,472.75,474.641,211,SL,-399.0010000000041,82.383599353226,-481.3845993532301,2
COALINDIA,short,2026-05-27 14:35:00,2026-05-27 14:40:00,455.4,457.22159999999997,219,SL,-398.9303999999977,82.3773738998704,-481.3077738998681,2
COALINDIA,short,2026-06-01 11:35:00,2026-06-01 13:00:00,475.65,470.89349999999996,210,TGT,998.8650000000035,82.33904586450998,916.5259541354935,18
COALINDIA,short,2026-06-04 10:55:00,2026-06-04 11:25:00,477.5,479.41,209,SL,-399.1900000000052,82.40026522694,-481.59026522694523,7
COALINDIA,short,2026-06-12 14:05:00,2026-06-12 15:15:00,444.3,443.75,225,TIME,123.75000000000256,82.42554984249998,41.32445015750258,15
DIVISLAB,long,2026-04-01 13:20:00,2026-04-01 13:25:00,5905.5,5881.878,16,SL,-377.9520000000048,80.39430488684799,-458.34630488685275,2
DIVISLAB,short,2026-04-06 13:30:00,2026-04-06 15:15:00,5819.0,5813.5,17,TIME,93.5,82.05941706499999,11.440582935000009,22
DIVISLAB,long,2026-04-23 11:50:00,2026-04-23 15:15:00,6352.5,6376.5,15,TIME,360.0,80.88731131,279.11268869,42
DIVISLAB,short,2026-06-02 14:25:00,2026-06-02 15:15:00,6533.0,6538.0,15,TIME,-75.0,81.74350069,-156.74350069000002,11
DLF,short,2026-04-08 13:15:00,2026-04-08 13:30:00,570.0,572.28,175,SL,-398.9999999999952,82.38351117399999,-481.3835111739952,4
DLF,short,2026-06-15 11:55:00,2026-06-15 11:55:00,612.8,615.2511999999999,163,SL,-399.5455999999954,82.43162175970559,-481.97722175970097,1
DLF,short,2026-06-16 10:00:00,2026-06-16 14:35:00,622.5,624.99,160,SL,-398.40000000000146,82.33060363839999,-480.7306036384015,56
DRREDDY,long,2026-04-01 11:55:00,2026-04-01 12:40:00,1240.6,1235.6375999999998,80,SL,-396.9920000000093,82.06652666380799,-479.05852666381725,10
DRREDDY,long,2026-04-01 14:10:00,2026-04-01 14:25:00,1218.4,1213.5264000000002,82,SL,-399.6351999999915,82.29867039284481,-481.93387039283635,4
DRREDDY,long,2026-04-07 13:05:00,2026-04-07 13:25:00,1185.5,1180.758,84,SL,-398.3279999999968,82.18386323387199,-480.5118632338688,5
DRREDDY,long,2026-04-08 10:05:00,2026-04-08 15:15:00,1189.8,1192.0,84,TIME,184.80000000000382,82.47807529119999,102.32192470880383,63
EICHERMOT,short,2026-06-15 13:25:00,2026-06-15 15:15:00,7621.0,7624.0,13,TIME,-39.0,82.12105980999999,-121.12105980999999,23
GRASIM,short,2026-04-06 13:15:00,2026-04-06 14:45:00,2586.1,2596.4444,38,SL,-393.0871999999981,81.86212504650719,-474.9493250465053,19
