symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,2026-04-01 10:10:00,2026-04-01 10:25:00,1888.0,1879.4859970216648,309,SL,-2630.8269203055634,156.60171025444473,-2787.428630560008,4
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 14:00:00,2451.7,2433.902521042979,309,TGT,5499.420997719414,189.53783763942087,5309.883160079993,11
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:35:00,2549.3,2540.399772927252,309,SL,-2750.1701654792228,195.0388710903618,-2945.2090365695844,1
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2714.8,2701.335543797766,309,SL,-4160.516966490316,204.4559629374143,-4364.97292942773,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 14:40:00,2725.4,2715.594797318358,309,SL,-3029.8076286274354,205.238109117289,-3235.0457377447246,2
ADANIENT,long,2026-05-20 14:10:00,2026-05-20 14:15:00,2727.0,2721.5468644336433,309,SL,-1685.0188900042049,205.52828722483872,-1890.5471772290437,2
ADANIENT,long,2026-05-25 11:00:00,2026-05-25 11:00:00,2826.4,2816.5975485084546,309,SL,-3028.9575108875674,211.11139303144896,-3240.0689039190165,1
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 13:10:00,2840.0,2856.4812481096883,309,TGT,5092.7056658936835,213.09282137438606,4879.612844519297,2
ADANIPORTS,long,2026-04-06 13:20:00,2026-04-06 14:15:00,1394.2,1403.9381531204644,475,TGT,4625.622732220591,172.50465059880713,4453.118081621784,12
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 11:35:00,1391.0,1395.546225539767,475,SL,-2159.4571313893084,171.630336759923,-2331.0874681492314,9
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 11:15:00,1751.0,1743.489804150785,475,SL,-3567.3430283771495,203.1977132160981,-3770.5407415932477,2
ASIANPAINT,short,2026-04-02 10:30:00,2026-04-02 10:50:00,2171.8,2180.270940193503,250,SL,-2117.735048375721,149.46475967160214,-2267.199808047323,5
ASIANPAINT,long,2026-04-21 10:40:00,2026-04-21 11:40:00,2579.7,2568.856708634992,250,SL,-2710.822841251911,168.16975553640953,-2878.9925967883205,13
ASIANPAINT,short,2026-06-24 10:00:00,2026-06-24 10:00:00,2650.2,2661.476179632196,250,SL,-2819.0449080490225,172.00121475390537,-2991.046122802928,1
AXISBANK,long,2026-04-07 13:35:00,2026-04-07 13:55:00,1258.9,1256.2929520588134,625,SL,-1629.404963241683,195.02980975881857,-1824.4347730005015,5
AXISBANK,short,2026-05-14 10:50:00,2026-05-14 11:15:00,1251.5,1254.9420642592463,625,SL,-2151.2901620289426,194.48778201299942,-2345.777944041942,6
AXISBANK,long,2026-05-20 10:35:00,2026-05-20 10:45:00,1249.7,1246.91184192321,625,SL,-1742.598797993793,193.93113522180693,-1936.5299332155998,3
BAJAJ-AUTO,short,2026-04-06 10:55:00,2026-04-06 12:15:00,8845.0,8879.504973765197,75,SL,-2587.87303238978,172.14685449090922,-2760.0198868806892,17
BAJAJ-AUTO,short,2026-06-12 09:55:00,2026-06-12 14:55:00,9994.0,10043.618275515335,75,SL,-3721.370663650123,188.41110209138387,-3909.7817657415067,61
BAJFINANCE,short,2026-04-28 09:55:00,2026-04-28 12:00:00,930.1,922.2796524663678,750,TGT,5865.260650224172,178.23128444851457,5687.029365775657,26
BHARTIARTL,long,2026-06-19 14:20:00,2026-06-19 14:25:00,1913.4,1909.5002131637996,475,SL,-1852.3987471952466,217.96593607805366,-2070.3646832733,2
BHARTIARTL,long,2026-06-24 11:15:00,2026-06-24 11:15:00,1895.3,1892.0313743698593,475,SL,-1552.5971743167872,216.39193885982817,-1768.9891131766153,1
CIPLA,short,2026-05-13 11:35:00,2026-05-13 11:45:00,1297.6,1304.6405148404992,375,SL,-2640.1930651872476,138.8820969903534,-2779.075162177601,3
CIPLA,long,2026-05-21 10:20:00,2026-05-21 10:35:00,1405.8,1401.9285886720493,375,SL,-1451.7792479815057,146.1951867729214,-1597.9744347544272,4
COALINDIA,short,2026-04-10 13:25:00,2026-04-10 14:15:00,431.3,434.9093999833791,1350,SL,-4872.689977561774,156.9760786069267,-5029.6660561687,11
COALINDIA,short,2026-05-07 11:45:00,2026-05-07 12:00:00,466.55,467.74577103801795,1350,SL,-1614.290901324216,165.7959452057497,-1780.0868465299657,4
COALINDIA,short,2026-05-07 13:10:00,2026-05-07 13:10:00,458.5,461.4395571676051,1350,SL,-3968.4021762668494,163.84872902011963,-4132.250905286969,1
COALINDIA,short,2026-05-14 14:35:00,2026-05-14 14:35:00,458.5,454.3300246440307,1350,TGT,5629.4667305585735,163.44951526080916,5466.017215297765,1
COALINDIA,long,2026-05-26 10:55:00,2026-05-26 11:45:00,475.5,473.69086873811034,1350,SL,-2442.327203551042,167.64455138592265,-2609.9717549369648,11
COALINDIA,short,2026-05-26 14:30:00,2026-05-26 14:40:00,459.7,456.18150405870716,1350,TGT,4749.969520745316,163.79096162775411,4586.178559117562,3
COALINDIA,long,2026-05-27 14:35:00,2026-05-27 14:50:00,453.35,451.3642356548401,1350,SL,-2680.781865965875,161.9823036931406,-2842.764169659016,4
COALINDIA,long,2026-06-01 11:35:00,2026-06-01 11:35:00,480.05,478.2549952601643,1350,SL,-2423.2563987781814,168.80329184147752,-2592.059690619659,1
COALINDIA,long,2026-06-04 11:30:00,2026-06-04 15:15:00,485.55,486.2,1350,TIME,877.4999999999693,170.68445882499998,706.8155411749693,46
DIVISLAB,short,2026-06-12 10:05:00,2026-06-12 10:15:00,6665.5,6683.596380090497,100,SL,-1809.6380090497405,172.71198148334838,-1982.3499905330889,3
DLF,short,2026-04-09 09:55:00,2026-04-09 10:25:00,569.15,571.7563001381585,825,SL,-2150.197613980788,135.65287548455592,-2285.850489465344,7
DLF,short,2026-05-21 10:40:00,2026-05-21 11:25:00,588.65,590.0478439300023,825,SL,-1153.2212422518937,138.6388816993502,-1291.8601239512438,10
DLF,long,2026-06-15 11:55:00,2026-06-15 12:30:00,616.95,615.019681023974,825,SL,-1592.513155221451,142.7511810715235,-1735.2643362929743,8
DLF,long,2026-06-16 10:00:00,2026-06-16 12:00:00,625.0,621.8074853425427,825,SL,-2633.82459240228,143.84833461770137,-2777.672927019981,25
DRREDDY,short,2026-04-01 13:20:00,2026-04-01 14:05:00,1247.8,1239.1011562514584,625,TGT,5436.777342838468,193.73697918320198,5243.040363655266,10
DRREDDY,short,2026-06-24 10:20:00,2026-06-24 10:40:00,1325.6,1332.3922224249122,625,SL,-4245.139015570203,203.29033031221363,-4448.429345882417,5
GRASIM,short,2026-05-20 13:55:00,2026-05-20 13:55:00,2916.5,2924.0498465430514,250,SL,-1887.461635762861,184.4910825792779,-2071.952718342139,1
GRASIM,long,2026-05-21 13:15:00,2026-05-21 13:40:00,3153.0,3170.359804091263,250,TGT,4339.95102281574,196.17540178023867,4143.775621035501,6
HCLTECH,short,2026-04-24 11:55:00,2026-04-24 12:30:00,1185.1,1177.1553320957094,350,TGT,2780.633766501694,125.14190189911612,2655.491864602578,8
HDFCBANK,long,2026-04-06 13:15:00,2026-04-06 15:15:00,769.25,772.55,550,TIME,1814.999999999975,127.08605856,1687.913941439975,25
HINDALCO,long,2026-05-21 10:00:00,2026-05-21 10:35:00,1116.5,1111.9707923915983,700,SL,-3170.4453258812237,193.81356313789777,-3364.2588890191214,8
HINDALCO,long,2026-06-16 14:35:00,2026-06-16 14:35:00,990.3,988.3231380662021,700,SL,-1383.8033536585044,177.4509462111738,-1561.254299869678,1
HINDALCO,long,2026-06-17 10:40:00,2026-06-17 10:40:00,1007.2,1002.8060490089679,700,SL,-3075.7656937225192,179.42917872389444,-3255.1948724464137,1
HINDALCO,long,2026-06-17 13:45:00,2026-06-17 13:45:00,1013.2,1010.0430984555985,700,SL,-2209.8310810810744,180.3465091425,-2390.1775902235745,1
HINDUNILVR,short,2026-04-07 11:00:00,2026-04-07 11:20:00,2071.0,2076.280597377368,300,SL,-1584.179213210382,164.18709675019429,-1748.3663099605762,5
HINDUNILVR,long,2026-04-21 14:25:00,2026-04-21 14:40:00,2282.1,2275.905413471073,300,SL,-1858.375958678016,175.76672367471355,-2034.1426823527297,4
HINDUNILVR,long,2026-04-30 10:35:00,2026-04-30 10:35:00,2353.8,2338.2953063150285,300,SL,-4651.40810549151,179.40520580018358,-4830.813311291693,1
HINDUNILVR,long,2026-05-13 11:45:00,2026-05-13 12:10:00,2283.2,2276.7291911925004,300,SL,-1941.2426422498356,175.816677956102,-2117.0593202059376,6
HINDUNILVR,long,2026-05-20 11:30:00,2026-05-20 12:00:00,2218.4,2213.0467181467184,300,SL,-1605.9845559845144,172.20745006,-1778.1920060445143,7
ICICIBANK,short,2026-04-07 11:00:00,2026-04-07 11:05:00,1238.0,1240.8258884674815,700,SL,-1978.1219272370436,210.3659988034415,-2188.487926040485,2
ICICIBANK,long,2026-04-07 13:35:00,2026-04-07 13:55:00,1258.0,1254.8027271260287,700,SL,-2238.0910117799203,212.59026208621913,-2450.6812738661392,5
ICICIBANK,long,2026-05-06 14:25:00,2026-05-06 14:30:00,1284.0,1290.04757045294,700,TGT,4233.299317057936,216.9639506800848,4016.3353663778507,2
INDUSINDBK,long,2026-05-06 14:25:00,2026-05-06 15:10:00,950.95,957.9587068965518,700,TGT,4906.09482758623,173.1893690851552,4732.905458501075,10
INDUSINDBK,long,2026-06-05 11:10:00,2026-06-05 11:30:00,925.3,921.5985133408201,700,SL,-2591.0406614259045,168.71141846527894,-2759.7520798911837,5
INFY,short,2026-04-24 14:00:00,2026-04-24 14:10:00,1146.0,1148.6602329986506,400,SL,-1064.0931994602397,133.50963909253835,-1197.602838552778,3
INFY,short,2026-05-04 10:15:00,2026-05-04 10:15:00,1183.0,1187.1721186440677,400,SL,-1668.8474576270892,136.31997564115255,-1805.1674332682417,1
ITC,short,2026-04-01 10:30:00,2026-04-01 10:45:00,296.3,297.238300239644,1600,SL,-1501.2803834303668,136.47861129626838,-1637.7589947266351,4
KOTAKBANK,short,2026-05-19 14:35:00,2026-05-19 15:15:00,385.65,385.0,2000,TIME,1299.9999999999545,192.29533220000005,1107.7046677999544,9
LT,long,2026-04-06 13:15:00,2026-04-06 14:35:00,3716.8,3743.1514303523522,175,TGT,4611.50031166161,170.28102099668774,4441.2192906649225,17
M&M,long,2026-04-07 13:35:00,2026-04-07 13:50:00,3041.8,3035.078543986331,200,SL,-1344.2912027338025,161.48898665542646,-1505.780189389229,4
NESTLEIND,long,2026-04-21 14:20:00,2026-04-21 14:40:00,1350.0,1366.4595578839765,500,TGT,8229.778941988228,175.43333621422184,8054.345605774007,5
NESTLEIND,short,2026-06-12 14:20:00,2026-06-12 15:15:00,1390.4,1379.8,500,TIME,5300.000000000068,177.8078494,5122.192150600068,12
NTPC,short,2026-04-01 13:45:00,2026-04-01 14:15:00,370.15,371.25452275905536,1500,SL,-1656.7841385830775,151.75559457946022,-1808.5397331625377,7
NTPC,long,2026-04-07 13:35:00,2026-04-07 13:50:00,374.85,374.22993973456124,1500,SL,-930.0903981581712,152.87706202817236,-1082.9674601863435,4
NTPC,long,2026-05-22 11:20:00,2026-05-22 11:55:00,393.2,392.3814466499881,1500,SL,-1227.8300250178233,158.01328988531253,-1385.843314903136,8
ONGC,short,2026-06-12 10:55:00,2026-06-12 11:50:00,245.9,246.84971142915438,2250,SL,-2136.8507155973475,151.40859586866458,-2288.259311466012,12
PNB,long,2026-04-02 14:15:00,2026-04-02 14:45:00,105.0,104.68876372039283,8000,SL,-2489.890236857377,204.91291703061816,-2694.8031538879954,7
PNB,short,2026-05-05 13:05:00,2026-05-05 13:05:00,107.0,107.83060656281073,8000,SL,-6644.852502485833,208.56531399498837,-6853.417816480821,1
PNB,long,2026-05-06 14:25:00,2026-05-06 14:50:00,111.22,111.85170210832426,8000,TGT,5053.616866594098,215.38298479094152,4838.233881803156,6
PNB,long,2026-06-05 09:55:00,2026-06-05 09:55:00,109.27,108.65804201862682,8000,SL,-4895.663850985443,210.98874713342866,-5106.6525981188715,1
POWERGRID,short,2026-04-06 10:45:00,2026-04-06 13:10:00,294.75,295.8692115027829,1900,SL,-2126.501855287489,152.67843441816882,-2279.1802897056577,30
SBIN,short,2026-05-08 14:00:00,2026-05-08 14:00:00,1044.7,1027.3667328489937,750,TGT,12999.950363254755,194.1092827645908,12805.841080490163,1
SBIN,short,2026-05-26 11:15:00,2026-05-26 12:45:00,978.5,974.1073930705602,750,TGT,3294.4551970798557,185.16943893053266,3109.285758149323,19
SUNPHARMA,short,2026-04-10 10:10:00,2026-04-10 15:15:00,1675.0,1680.0,350,TIME,-1750.0,157.5980045,-1907.5980045000001,62
SUNPHARMA,short,2026-04-27 11:15:00,2026-04-27 11:55:00,1746.0,1754.9881566206227,350,SL,-3145.854817217946,162.33253548526739,-3308.1873527032135,9
TATASTEEL,long,2026-04-07 13:20:00,2026-04-07 13:25:00,196.41,195.96157861337028,2750,SL,-1233.1588132317252,148.66474028693312,-1381.8235535186582,2
TATASTEEL,short,2026-05-15 13:40:00,2026-05-15 14:05:00,216.0,214.76044440363603,2750,TGT,3408.77789000092,158.8418872924433,3249.9360027084767,6
TATASTEEL,long,2026-05-27 10:30:00,2026-05-27 10:45:00,216.35,215.43159447659195,2750,SL,-2525.615189372111,158.79456291692918,-2684.4097522890406,4
TCS,short,2026-04-22 11:45:00,2026-04-22 11:45:00,2526.5,2531.3058307830174,175,SL,-841.0203870280498,130.43995325197807,-971.4603402800278,1
TECHM,short,2026-04-22 10:40:00,2026-04-22 12:10:00,1440.0,1423.3321641529287,600,TGT,10000.701508242764,209.37846282146614,9791.323045421299,19
TECHM,long,2026-04-22 14:00:00,2026-04-22 14:15:00,1494.5,1484.954182866336,600,SL,-5727.490280198435,215.1085638898646,-5942.5988440883,4
TECHM,short,2026-05-21 10:40:00,2026-05-21 10:45:00,1416.1,1419.9521847383924,600,SL,-2311.3108430354714,207.1919527432052,-2518.5027957786765,2
