symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,2026-04-01 10:10:00,2026-04-01 10:25:00,1888.0,1878.56,309,SL,-2916.960000000017,156.55976486176002,-3073.519764861777,4
ADANIENT,short,2026-04-01 11:55:00,2026-04-01 12:05:00,1869.5,1878.8474999999999,309,SL,-2888.377499999955,156.03173616773503,-3044.40923616769,3
ADANIENT,long,2026-04-06 10:45:00,2026-04-06 11:10:00,1872.6,1863.2369999999999,309,SL,-2893.1670000000177,155.66774135600198,-3048.8347413560195,6
ADANIENT,short,2026-04-07 10:25:00,2026-04-07 15:05:00,1904.0,1913.5199999999998,309,SL,-2941.679999999924,158.04013140592,-3099.720131405844,57
ADANIENT,long,2026-04-08 13:35:00,2026-04-08 15:15:00,2074.8,2074.5,309,TIME,-92.7000000000562,167.8362216178,-260.5362216178562,21
ADANIENT,long,2026-04-09 11:15:00,2026-04-09 14:25:00,2077.0,2066.615,309,SL,-3208.9650000000674,167.50732606878998,-3376.4723260688575,39
ADANIENT,short,2026-04-10 10:10:00,2026-04-10 10:20:00,2075.0,2085.375,309,SL,-3205.875,167.99478606475003,-3373.86978606475,3
ADANIENT,long,2026-04-13 10:00:00,2026-04-13 10:15:00,2140.4,2166.0848,309,TGT,7936.603199999999,172.82791532630083,7763.775284673698,4
ADANIENT,short,2026-04-15 13:25:00,2026-04-15 15:15:00,2190.0,2175.8,309,TIME,4387.799999999944,174.3661953268,4213.433804673144,23
ADANIENT,long,2026-04-17 14:20:00,2026-04-17 15:15:00,2251.0,2245.0,309,TIME,-1854.0,177.82407181600001,-2031.824071816,12
ADANIENT,long,2026-04-23 11:10:00,2026-04-23 11:15:00,2320.0,2308.4,309,SL,-3584.399999999972,181.5827619064,-3765.9827619063717,2
ADANIENT,long,2026-05-04 14:15:00,2026-05-04 15:15:00,2511.5,2507.0,309,TIME,-1390.5,193.04011710100002,-1583.540117101,13
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 15:15:00,2451.7,2427.3,309,TIME,7539.599999999888,189.452978434,7350.147021565887,26
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:45:00,2549.3,2536.5535,309,SL,-3938.6685000000607,194.864644365511,-4133.533144365571,3
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2714.8,2701.226,309,SL,-4194.366000000022,204.45100087219603,-4398.817000872218,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 15:15:00,2725.4,2730.9,309,TIME,1699.5,205.93139723980005,1493.5686027602,9
ADANIENT,short,2026-05-18 10:45:00,2026-05-18 11:30:00,2690.5,2703.9525,309,SL,-4156.82249999996,203.82572140106504,-4360.648221401025,10
ADANIENT,long,2026-05-20 14:10:00,2026-05-20 15:15:00,2727.0,2725.5,309,TIME,-463.5,205.70735456499997,-669.207354565,14
ADANIENT,long,2026-05-22 14:15:00,2026-05-22 14:45:00,2745.5,2731.7725,309,SL,-4241.797499999989,206.22925552328505,-4448.026755523274,7
ADANIENT,long,2026-05-25 11:00:00,2026-05-25 11:00:00,2826.4,2812.268,309,SL,-4366.788000000019,210.91527510872803,-4577.703275108746,1
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 13:10:00,2840.0,2874.08,309,TGT,10530.719999999978,213.89000164768,10316.829998352297,2
ADANIENT,long,2026-05-26 11:50:00,2026-05-26 14:20:00,2946.8,2982.1616000000004,309,TGT,10926.734400000056,220.1584848082336,10706.575915191823,31
ADANIPORTS,long,2026-04-06 13:20:00,2026-04-06 14:15:00,1394.2,1410.9304,475,TGT,7946.9399999999605,172.99153578236002,7773.9484642176,12
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 13:35:00,1391.0,1397.955,475,SL,-3303.6249999999654,171.67792727825,-3475.3029272782155,33
ADANIPORTS,long,2026-04-10 14:20:00,2026-04-10 15:15:00,1491.9,1495.3,475,TIME,1614.9999999999352,180.79664597999997,1434.2033540199352,12
ADANIPORTS,short,2026-04-15 13:25:00,2026-04-15 14:40:00,1520.0,1527.6,475,SL,-3609.999999999957,183.22189034000002,-3793.2218903399566,16
ADANIPORTS,short,2026-04-17 11:50:00,2026-04-17 14:15:00,1568.3,1576.1414999999997,475,SL,-3724.7124999998905,187.544164881725,-3912.2566648816155,30
ADANIPORTS,short,2026-04-27 13:25:00,2026-04-27 14:35:00,1633.3,1641.4664999999998,475,SL,-3879.087499999912,193.36089045547502,-4072.4483904553867,15
ADANIPORTS,short,2026-04-30 14:05:00,2026-04-30 14:35:00,1622.0,1630.11,475,SL,-3852.2499999999527,192.34967508649996,-4044.599675086453,7
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 11:15:00,1751.0,1742.245,475,SL,-4158.625000000052,203.11103482675,-4361.736034826802,2
ADANIPORTS,short,2026-05-12 14:00:00,2026-05-12 15:15:00,1702.3,1700.6,475,TIME,807.5000000000216,199.333818235,608.1661817650216,16
ADANIPORTS,long,2026-05-25 10:55:00,2026-05-25 15:15:00,1809.2,1809.4,475,TIME,95.0000000000216,208.93704799000002,-113.93704798997842,53
ASIANPAINT,short,2026-04-02 10:30:00,2026-04-02 14:30:00,2171.8,2182.659,250,SL,-2714.749999999981,149.4895919115,-2864.239591911481,49
