symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 15:15:00,2451.7,2427.3,309,TIME,7539.599999999888,189.452978434,7350.147021565887,26
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:45:00,2549.3,2539.1028,309,SL,-3150.9348000000205,194.9801213995288,-3345.9149213995493,3
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2714.8,2703.9408000000003,309,SL,-3355.492799999961,204.57397465007685,-3560.0667746500376,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 14:40:00,2725.4,2714.4984,309,SL,-3368.5944000000445,205.18844500932641,-3573.782845009371,2
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 15:15:00,2840.0,2864.0,309,TIME,7416.0,213.43340238400003,7202.566597616,27
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 11:55:00,1391.0,1396.564,475,SL,-2642.900000000037,171.65044508260002,-2814.550445082637,13
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 11:15:00,1751.0,1743.996,475,SL,-3326.899999999955,203.23296072140002,-3530.132960721355,2
ASIANPAINT,long,2026-04-21 10:40:00,2026-04-21 11:40:00,2579.7,2569.3812,250,SL,-2579.7000000000025,168.1889773582,-2747.8889773582027,13
BHARTIARTL,long,2026-06-19 14:20:00,2026-06-19 14:25:00,1913.4,1905.7464,475,SL,-3635.460000000046,217.70454999676002,-3853.164549996806,2
COALINDIA,short,2026-04-10 13:30:00,2026-04-10 13:35:00,429.15,430.8666,1350,SL,-2317.410000000038,156.32357862153998,-2473.733578621578,2
COALINDIA,short,2026-05-07 13:10:00,2026-05-07 13:10:00,458.5,460.334,1350,SL,-2475.900000000004,163.7866498846,-2639.6866498846043,1
COALINDIA,short,2026-05-14 14:35:00,2026-05-14 14:35:00,458.5,451.6225,1350,TGT,9284.624999999996,163.29748260775,9121.327517392247,1
COALINDIA,long,2026-05-26 10:55:00,2026-05-26 11:45:00,475.5,473.598,1350,SL,-2567.699999999982,167.6261724862,-2735.3261724861823,11
COALINDIA,long,2026-05-27 14:35:00,2026-05-27 14:50:00,453.35,451.5366,1350,SL,-2448.090000000002,162.01641492454002,-2610.106414924542,4
COALINDIA,long,2026-06-01 11:35:00,2026-06-01 11:35:00,480.05,478.1298,1350,SL,-2592.2700000000304,168.77851546162,-2761.0485154616504,1
COALINDIA,long,2026-06-04 11:30:00,2026-06-04 15:15:00,485.55,486.2,1350,TIME,877.4999999999693,170.68445882499998,706.8155411749693,46
DLF,long,2026-06-15 11:55:00,2026-06-15 15:10:00,616.95,614.4822,825,SL,-2035.935000000009,142.68617808961,-2178.621178089619,40
GRASIM,short,2026-05-20 13:55:00,2026-05-20 14:10:00,2916.5,2928.166,250,SL,-2916.500000000042,184.533884401,-3101.0338844010416,4
HINDALCO,long,2026-05-21 10:00:00,2026-05-21 10:35:00,1116.5,1112.034,700,SL,-3126.199999999926,193.8200492372,-3320.020049237126,8
HINDALCO,long,2026-06-17 10:40:00,2026-06-17 10:40:00,1007.2,1003.1712,700,SL,-2820.1600000000326,179.46664898496,-2999.6266489849927,1
HINDALCO,long,2026-06-17 13:45:00,2026-06-17 13:50:00,1013.2,1009.1472,700,SL,-2836.9600000000332,180.25457580576,-3017.214575805793,2
HINDUNILVR,long,2026-04-21 14:25:00,2026-04-21 14:40:00,2282.1,2272.9716,300,SL,-2738.520000000017,175.63769983912,-2914.157699839137,4
HINDUNILVR,long,2026-04-30 10:35:00,2026-04-30 10:35:00,2353.8,2344.3848000000003,300,SL,-2824.559999999974,179.67301077136003,-3004.233010771334,1
ICICIBANK,long,2026-04-07 13:35:00,2026-04-07 15:15:00,1258.0,1266.9,700,TIME,6230.000000000064,213.83163342,6016.168366580064,21
INDUSINDBK,long,2026-05-06 14:25:00,2026-05-06 15:15:00,950.95,960.1,700,TIME,6404.999999999984,173.40909959,6231.590900409984,11
INFY,short,2026-04-24 14:00:00,2026-04-24 14:15:00,1146.0,1150.584,400,SL,-1833.600000000024,133.5416459584,-1967.141645958424,4
INFY,short,2026-05-04 10:15:00,2026-05-04 15:15:00,1183.0,1174.0,400,TIME,3600.0,136.1008232,3463.8991768,61
