symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,2026-04-01 10:10:00,2026-04-01 10:25:00,1888.0,1878.56,309,SL,-2916.960000000017,156.55976486176002,-3073.519764861777,4
ADANIENT,short,2026-04-01 11:55:00,2026-04-01 12:05:00,1869.5,1878.8474999999999,309,SL,-2888.377499999955,156.03173616773503,-3044.40923616769,3
ADANIENT,long,2026-04-06 10:45:00,2026-04-06 11:10:00,1872.6,1863.2369999999999,309,SL,-2893.1670000000177,155.66774135600198,-3048.8347413560195,6
ADANIENT,short,2026-04-07 10:25:00,2026-04-07 14:55:00,1904.0,1910.9,309,OI_FLIP,-2132.100000000028,158.0064577354,-2290.106457735428,55
ADANIENT,long,2026-04-08 13:35:00,2026-04-08 15:15:00,2074.8,2074.5,309,TIME,-92.7000000000562,167.8362216178,-260.5362216178562,21
ADANIENT,long,2026-04-09 11:15:00,2026-04-09 14:25:00,2077.0,2066.615,309,SL,-3208.9650000000674,167.50732606878998,-3376.4723260688575,39
ADANIENT,long,2026-04-13 10:00:00,2026-04-13 10:15:00,2140.4,2166.0848,309,TGT,7936.603199999999,172.82791532630083,7763.775284673698,4
ADANIENT,short,2026-04-15 13:40:00,2026-04-15 15:15:00,2183.4,2175.8,309,TIME,2348.399999999972,174.06723152320004,2174.332768476772,20
ADANIENT,long,2026-04-23 11:10:00,2026-04-23 11:15:00,2320.0,2308.4,309,SL,-3584.399999999972,181.5827619064,-3765.9827619063717,2
ADANIENT,long,2026-05-04 14:15:00,2026-05-04 15:15:00,2511.5,2507.0,309,TIME,-1390.5,193.04011710100002,-1583.540117101,13
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 15:15:00,2451.7,2427.3,309,OI_FLIP,7539.599999999888,189.452978434,7350.147021565887,26
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:45:00,2549.3,2536.5535,309,SL,-3938.6685000000607,194.864644365511,-4133.533144365571,3
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2714.8,2701.226,309,SL,-4194.366000000022,204.45100087219603,-4398.817000872218,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 15:15:00,2725.4,2730.9,309,TIME,1699.5,205.93139723980005,1493.5686027602,9
ADANIENT,short,2026-05-18 10:45:00,2026-05-18 11:30:00,2690.5,2703.9525,309,SL,-4156.82249999996,203.82572140106504,-4360.648221401025,10
ADANIENT,long,2026-05-20 14:10:00,2026-05-20 15:15:00,2727.0,2725.5,309,TIME,-463.5,205.70735456499997,-669.207354565,14
ADANIENT,long,2026-05-22 14:15:00,2026-05-22 14:45:00,2745.5,2731.7725,309,SL,-4241.797499999989,206.22925552328505,-4448.026755523274,7
ADANIENT,long,2026-05-25 11:00:00,2026-05-25 11:00:00,2826.4,2812.268,309,SL,-4366.788000000019,210.91527510872803,-4577.703275108746,1
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 13:10:00,2840.0,2874.08,309,TGT,10530.719999999978,213.89000164768,10316.829998352297,2
ADANIENT,long,2026-05-26 11:50:00,2026-05-26 14:20:00,2946.8,2982.1616000000004,309,TGT,10926.734400000056,220.1584848082336,10706.575915191823,31
ADANIPORTS,long,2026-04-06 13:20:00,2026-04-06 14:15:00,1394.2,1410.9304,475,TGT,7946.9399999999605,172.99153578236002,7773.9484642176,12
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 13:35:00,1391.0,1397.955,475,SL,-3303.6249999999654,171.67792727825,-3475.3029272782155,33
ADANIPORTS,long,2026-04-10 14:20:00,2026-04-10 15:15:00,1491.9,1495.3,475,TIME,1614.9999999999352,180.79664597999997,1434.2033540199352,12
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 11:15:00,1751.0,1742.245,475,SL,-4158.625000000052,203.11103482675,-4361.736034826802,2
ASIANPAINT,short,2026-04-02 10:30:00,2026-04-02 14:30:00,2171.8,2182.659,250,SL,-2714.749999999981,149.4895919115,-2864.239591911481,49
ASIANPAINT,long,2026-04-21 10:40:00,2026-04-21 11:50:00,2579.7,2566.8015,250,SL,-3224.6249999999463,168.09443522275004,-3392.7194352226966,15
ASIANPAINT,long,2026-05-22 11:05:00,2026-05-22 11:15:00,2648.0,2642.5,250,OI_FLIP,-1375.0,171.57888925,-1546.57888925,3
ASIANPAINT,short,2026-05-29 14:10:00,2026-05-29 14:10:00,2665.6,2678.9279999999994,250,SL,-3331.99999999988,172.747074408,-3504.74707440788,1
ASIANPAINT,short,2026-06-24 10:00:00,2026-06-24 10:00:00,2650.2,2663.4509999999996,250,SL,-3312.7499999999372,172.0217499235,-3484.7717499234373,1
AXISBANK,long,2026-04-01 14:20:00,2026-04-01 14:45:00,1220.0,1213.9,625,SL,-3812.499999999943,190.13446037499997,-4002.634460374943,6
AXISBANK,long,2026-04-02 14:15:00,2026-04-02 15:15:00,1208.5,1218.4,625,TIME,6187.500000000056,190.24779912499997,5997.252200875057,13
AXISBANK,long,2026-04-06 10:35:00,2026-04-06 12:20:00,1226.3,1241.0156,625,TGT,9197.249999999996,192.78260191650003,9004.467398083496,22
AXISBANK,long,2026-04-07 10:25:00,2026-04-07 11:00:00,1253.2,1246.934,625,SL,-3916.2500000000477,194.02415224749998,-4110.274152247548,8
