symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,2026-04-01 10:10:00,2026-04-01 10:25:00,1888.0,1878.56,309,SL,-2916.960000000017,156.55976486176002,-3073.519764861777,4
ADANIENT,short,2026-04-01 11:55:00,2026-04-01 12:05:00,1869.5,1878.8474999999999,309,SL,-2888.377499999955,156.03173616773503,-3044.40923616769,3
ADANIENT,long,2026-04-06 10:45:00,2026-04-06 11:10:00,1872.6,1863.2369999999999,309,SL,-2893.1670000000177,155.66774135600198,-3048.8347413560195,6
ADANIENT,short,2026-04-07 10:25:00,2026-04-07 14:55:00,1904.0,1910.9,309,OI_FLIP,-2132.100000000028,158.0064577354,-2290.106457735428,55
ADANIENT,long,2026-04-08 13:35:00,2026-04-08 15:15:00,2074.8,2074.5,309,TIME,-92.7000000000562,167.8362216178,-260.5362216178562,21
ADANIENT,long,2026-04-09 11:15:00,2026-04-09 11:30:00,2077.0,2076.0,309,OI_FLIP,-309.0,167.932443538,-476.93244353800003,4
ADANIENT,short,2026-04-10 10:10:00,2026-04-10 10:20:00,2075.0,2085.375,309,SL,-3205.875,167.99478606475003,-3373.86978606475,3
ADANIENT,long,2026-04-13 10:00:00,2026-04-13 10:15:00,2140.4,2161.804,309,TGT,6613.835999999999,172.634005591384,6441.201994408615,4
ADANIENT,short,2026-04-15 13:25:00,2026-04-15 14:50:00,2190.0,2184.0,309,OI_FLIP,1854.0,174.471586204,1679.528413796,18
ADANIENT,long,2026-04-17 14:20:00,2026-04-17 15:15:00,2251.0,2245.0,309,OI_FLIP,-1854.0,177.82407181600001,-2031.824071816,12
ADANIENT,long,2026-04-23 11:10:00,2026-04-23 11:15:00,2320.0,2308.4,309,SL,-3584.399999999972,181.5827619064,-3765.9827619063717,2
ADANIENT,long,2026-05-04 14:15:00,2026-05-04 15:15:00,2511.5,2507.0,309,TIME,-1390.5,193.04011710100002,-1583.540117101,13
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 15:00:00,2451.7,2427.183,309,TGT,7575.752999999946,189.451474686118,7386.301525313828,23
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:45:00,2549.3,2536.5535,309,SL,-3938.6685000000607,194.864644365511,-4133.533144365571,3
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2714.8,2701.226,309,SL,-4194.366000000022,204.45100087219603,-4398.817000872218,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 15:15:00,2725.4,2730.9,309,TIME,1699.5,205.93139723980005,1493.5686027602,9
ADANIENT,short,2026-05-18 10:45:00,2026-05-18 11:30:00,2690.5,2703.9525,309,SL,-4156.82249999996,203.82572140106504,-4360.648221401025,10
ADANIENT,long,2026-05-20 14:10:00,2026-05-20 15:15:00,2727.0,2725.5,309,TIME,-463.5,205.70735456499997,-669.207354565,14
ADANIENT,long,2026-05-22 14:15:00,2026-05-22 14:45:00,2745.5,2731.7725,309,SL,-4241.797499999989,206.22925552328505,-4448.026755523274,7
ADANIENT,long,2026-05-25 11:00:00,2026-05-25 11:00:00,2826.4,2812.268,309,SL,-4366.788000000019,210.91527510872803,-4577.703275108746,1
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 13:10:00,2840.0,2868.4,309,TGT,8775.600000000028,213.6327115864,8561.967288413627,2
ADANIENT,long,2026-05-26 11:50:00,2026-05-26 14:20:00,2946.8,2976.268,309,TGT,9105.611999999954,219.891519191128,8885.720480808826,31
ADANIPORTS,long,2026-04-06 13:20:00,2026-04-06 14:15:00,1394.2,1408.142,475,TGT,6622.4500000000035,172.79737349530004,6449.652626504703,12
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 13:35:00,1391.0,1397.955,475,SL,-3303.6249999999654,171.67792727825,-3475.3029272782155,33
ADANIPORTS,long,2026-04-10 14:20:00,2026-04-10 15:15:00,1491.9,1495.3,475,TIME,1614.9999999999352,180.79664597999997,1434.2033540199352,12
ADANIPORTS,short,2026-04-15 13:25:00,2026-04-15 14:00:00,1520.0,1524.0,475,OI_FLIP,-1900.0,183.1507646,-2083.1507646,8
ADANIPORTS,short,2026-04-17 11:50:00,2026-04-17 13:40:00,1568.3,1574.4,475,OI_FLIP,-2897.5000000000646,187.50975780500005,-3085.0097578050645,23
ADANIPORTS,short,2026-04-27 13:25:00,2026-04-27 14:35:00,1633.3,1641.4664999999998,475,SL,-3879.087499999912,193.36089045547502,-4072.4483904553867,15
ADANIPORTS,short,2026-04-30 14:05:00,2026-04-30 14:05:00,1622.0,1605.78,475,TGT,7704.500000000013,191.868983627,7512.631016373013,1
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 11:15:00,1751.0,1742.245,475,SL,-4158.625000000052,203.11103482675,-4361.736034826802,2
ADANIPORTS,short,2026-05-12 14:00:00,2026-05-12 15:15:00,1702.3,1700.6,475,TIME,807.5000000000216,199.333818235,608.1661817650216,16
ADANIPORTS,long,2026-05-25 10:55:00,2026-05-25 15:15:00,1809.2,1809.4,475,TIME,95.0000000000216,208.93704799000002,-113.93704798997842,53
ASIANPAINT,short,2026-04-02 10:30:00,2026-04-02 14:30:00,2171.8,2182.659,250,SL,-2714.749999999981,149.4895919115,-2864.239591911481,49
